服务区编号,服务区名称,经度（°）,纬度（°）,海拔（m）,本次需保障人口（人）
S001,平旺、那龙、镇龙乡,109.2432319,23.0335927,154,2100
S002,上良,109.2585519,23.0703271,189.5,330
S003,六造、那旭、都长,109.1688578,23.0402714,308.5,275
S004,大站,109.2381714,23.0778414,198.3,188
S005,上良、古律、那麓,109.2283003,23.0561338,165,126
S006,六昌、木路,109.1997836,23.007714,284.8,121
S007,佛子、那桑、银坑,109.1928191,23.0294186,318.5,76
S008,古麻、大站,109.2127472,23.0795113,240.9,55
S009,那龙,109.2541424,23.0552989,200,45
S010,镇龙乡,109.2760168,23.0194009,321.6,31
S011,那从,109.2203356,23.0319231,182.1,30
S012,镇龙乡,109.2831357,23.054464,249.8,16
S013,镇龙乡,109.2713839,23.0310882,321.7,14
S014,镇龙乡,109.2835966,23.0052097,321,12
S015,六造、那托、那旭,109.1923786,23.0494548,444.5,3
