架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,累计作业时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,S001-FOD-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,78.0,0.163,618.1690781764918,1494.169078176492,2.9957334380847778,62.55333202394028
Q1-002,S001,C,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,76.0,0.231,618.1690781764918,1692.169078176492,2.9175468585122437,63.53066426859695
Q1-003,S002,B,S002-FOD-01;S002-MED-01;S002-WAT-01,25.0,0.067,1190.0145864510127,1820.0145864510127,2.714721295238305,32.13196761904238
Q1-004,S002,C,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56.0,0.14400000000000002,1235.8872793221067,2045.8872793221067,5.722864186671043,28.464197666611966
Q1-005,S003,B,S003-FOD-01;S003-MED-01;S003-WAT-01,25.0,0.067,1450.5233236440226,2080.5233236440226,2.779848267267533,30.50379331831168
Q1-006,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56.0,0.14400000000000002,1560.0913697052204,2370.09136970522,5.764874419169901,27.939069760376235
Q1-007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,0.156,1425.0566925260289,2301.056692526029,6.152871596056126,23.089105049298418
Q1-008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,0.156,1001.1905243186131,1877.1905243186131,4.222147882156408,47.2231514730449
Q1-009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,0.156,689.7256522086882,1565.7256522086882,2.5996867357077136,67.50391580365358
Q1-010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,0.129,1079.3096020372966,1889.3096020372966,3.403731022318619,57.453362221017265
Q1-011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,0.129,1380.0703828445432,2190.070382844543,5.832225181246579,27.097185234417765
Q1-012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,0.067,928.4417386822983,1558.4417386822984,2.0962091833149565,47.594770417126085
Q1-013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,0.067,925.3795695782699,1555.3795695782699,1.8231528292723531,54.42117926819117
Q1-014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,0.067,558.420472806553,1188.4204728065529,1.0739252699396358,73.1518682515091
Q1-015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,0.067,1312.9647806259018,1942.9647806259018,2.760456447566475,30.988588810838124
Q1-016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,0.067,871.041675401921,1501.041675401921,1.8209529704015748,54.47617573996063
Q1-017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,0.067,1215.697859216596,1845.697859216596,2.130694681397041,46.732632965073975
Q1-018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,0.067,1198.2766495855672,1828.2766495855672,2.3073930252979054,42.315174367552366
