服务区编号,机型编号,返航余量,最大安全载荷（kg）
S001,A,0.2,25.0
S001,B,0.2,30.0
S001,C,0.2,80.0
S002,A,0.2,25.0
S002,B,0.2,30.0
S002,C,0.2,68.83403958853867
S003,A,0.2,25.0
S003,B,0.2,30.0
S003,C,0.2,68.20800464738969
S004,A,0.2,25.0
S004,B,0.2,30.0
S004,C,0.2,63.69804205677584
S005,A,0.2,25.0
S005,B,0.2,30.0
S005,C,0.2,80.0
S006,A,0.2,25.0
S006,B,0.2,30.0
S006,C,0.2,80.0
S007,A,0.2,25.0
S007,B,0.2,30.0
S007,C,0.2,80.0
S008,A,0.2,25.0
S008,B,0.2,28.84832848976599
S008,C,0.2,58.98508718970471
S009,A,0.2,25.0
S009,B,0.2,30.0
S009,C,0.2,80.0
S010,A,0.2,25.0
S010,B,0.2,30.0
S010,C,0.2,80.0
S011,A,0.2,25.0
S011,B,0.2,30.0
S011,C,0.2,80.0
S012,A,0.2,25.0
S012,B,0.2,30.0
S012,C,0.2,67.95017150817051
S013,A,0.2,25.0
S013,B,0.2,30.0
S013,C,0.2,80.0
S014,A,0.2,25.0
S014,B,0.2,30.0
S014,C,0.2,80.0
S015,A,0.2,25.0
S015,B,0.2,30.0
S015,C,0.2,80.0
