服务区编号,机型编号,返航余量,最大安全载荷（kg）
S001,A,0.1,25.0
S001,A,0.15,25.0
S001,A,0.2,25.0
S001,A,0.25,25.0
S001,A,0.3,25.0
S001,B,0.1,30.0
S001,B,0.15,30.0
S001,B,0.2,30.0
S001,B,0.25,30.0
S001,B,0.3,30.0
S001,C,0.1,80.0
S001,C,0.15,80.0
S001,C,0.2,80.0
S001,C,0.25,80.0
S001,C,0.3,80.0
S002,A,0.1,25.0
S002,A,0.15,25.0
S002,A,0.2,25.0
S002,A,0.25,25.0
S002,A,0.3,25.0
S002,B,0.1,30.0
S002,B,0.15,30.0
S002,B,0.2,30.0
S002,B,0.25,29.998532180976035
S002,B,0.3,26.72117506586846
S002,C,0.1,78.57588955273316
S002,C,0.15,74.21963622649257
S002,C,0.2,68.83403958853867
S002,C,0.25,61.982505152279195
S002,C,0.3,52.90893144452308
S003,A,0.1,25.0
S003,A,0.15,25.0
S003,A,0.2,25.0
S003,A,0.25,25.0
S003,A,0.3,24.74013338971299
S003,B,0.1,30.0
S003,B,0.15,30.0
S003,B,0.2,30.0
S003,B,0.25,29.03762928928787
S003,B,0.3,25.428002711058177
S003,C,0.1,78.2324192580508
S003,C,0.15,73.7535904818605
S003,C,0.2,68.20800464738969
S003,C,0.25,61.146393499036826
S003,C,0.3,51.79816787134676
S004,A,0.1,25.0
S004,A,0.15,25.0
S004,A,0.2,25.0
S004,A,0.25,25.0
S004,A,0.3,20.17122425883632
S004,B,0.1,30.0
S004,B,0.15,30.0
S004,B,0.2,30.0
S004,B,0.25,27.412907786085334
S004,B,0.3,23.442858405985888
S004,C,0.1,74.88501411446907
S004,C,0.15,69.91423244608278
S004,C,0.2,63.69804205677584
S004,C,0.25,55.66255493892614
S004,C,0.3,44.74892045717929
S005,A,0.1,25.0
S005,A,0.15,25.0
S005,A,0.2,25.0
S005,A,0.25,25.0
S005,A,0.3,25.0
S005,B,0.1,30.0
S005,B,0.15,30.0
S005,B,0.2,30.0
S005,B,0.25,30.0
S005,B,0.3,30.0
S005,C,0.1,80.0
S005,C,0.15,80.0
S005,C,0.2,80.0
S005,C,0.25,80.0
S005,C,0.3,80.0
S006,A,0.1,25.0
S006,A,0.15,25.0
S006,A,0.2,25.0
S006,A,0.25,25.0
S006,A,0.3,25.0
S006,B,0.1,30.0
S006,B,0.15,30.0
S006,B,0.2,30.0
