电池编号,机型编号,架次编号,任务开始时刻（s）,任务结束时刻（s）,任务后SOC（%）,充电开始时刻（s）,充电结束时刻（s）,再次可用时刻（s）
C-BAT-01,C,Q2-001,0.0,1560.169078176492,63.53066426859695,1560.169078176492,3183.6713523568915,3183.6713523568915
B-BAT-01,B,Q2-002,0.0,1942.9647806259015,30.988588810838124,1942.9647806259015,3805.8292412380406,3805.8292412380406
B-BAT-02,B,Q2-003,0.0,1501.041675401921,54.47617573996063,1501.041675401921,2956.787962575937,2956.787962575937
C-BAT-02,C,Q2-004,0.0,1889.3096020372968,57.453362221017265,1889.3096020372968,3644.486753915256,3644.486753915256
B-BAT-03,B,Q2-005,1501.041675401921,3056.4212449801907,54.42117926819117,3056.4212449801907,4513.120804331544,4513.120804331544
C-BAT-03,C,Q2-006,1560.169078176492,3540.0563574985986,34.37283651509624,3540.0563574985986,5795.31156633818,5795.31156633818
A-BAT-01,A,Q2-007,0.0,2007.0582709055627,35.0827347692714,2007.0582709055627,3350.9827189050347,3350.9827189050347
B-BAT-04,B,Q2-008,1942.9647806259015,3788.662639842498,46.732632965073975,3788.662639842498,5378.630335114549,5378.630335114549
A-BAT-02,A,Q2-009,0.0,1190.8995031364677,72.89995773493798,1190.8995031364677,2043.2000525822739,2043.2000525822739
C-BAT-04,C,Q2-010,1889.3096020372968,3455.035254245985,67.50391580365358,3455.035254245985,4992.450411833491,4992.450411833491
C-BAT-01,C,Q2-011,3455.035254245985,5332.225778564598,47.2231514730449,5332.225778564598,7309.057496648626,7309.057496648626
A-BAT-03,A,Q2-012,0.0,1250.8995031364677,71.50398421054092,1250.8995031364677,2121.3477083994358,2121.3477083994358
C-BAT-02,C,Q2-013,3644.486753915256,5834.5571367597995,27.097185234417765,5834.5571367597995,8247.451456680748,8247.451456680748
B-BAT-02,B,Q2-014,3056.4212449801907,4244.841717786744,73.1518682515091,4244.841717786744,5376.876001427253,5376.876001427253
B-BAT-01,B,Q2-015,3805.8292412380406,5886.352564882063,30.50379331831168,5886.352564882063,7757.620147364661,7757.620147364661
C-BAT-04,C,Q2-016,5332.225778564598,7633.282471090627,23.089105049298418,7633.282471090627,10133.018528355828,10133.018528355828
A-BAT-04,A,Q2-017,0.0,1190.8995031364677,72.89995773493798,1190.8995031364677,2043.2000525822739,2043.2000525822739
B-BAT-03,B,Q2-018,4513.120804331544,6341.397453917111,42.315174367552366,6341.397453917111,8007.934431546204,8007.934431546204
C-BAT-03,C,Q2-019,5834.5571367597995,8003.278303575325,48.70523488185165,8003.278303575325,9947.998214468538,9947.998214468538
A-BAT-05,A,Q2-020,1190.8995031364677,3393.5288070241786,34.85677327122689,3393.5288070241786,4740.3907544982285,4740.3907544982285
A-BAT-06,A,Q2-021,1190.8995031364677,3453.5288070241786,31.477310914694677,3453.5288070241786,4844.323765133147,4844.323765133147
A-BAT-02,A,Q2-022,2043.2000525822739,4050.2583234878366,32.88780323960633,4050.2583234878366,5422.716881372954,5422.716881372954
B-BAT-02,B,Q2-023,5886.352564882063,7906.875888526085,35.3645357754363,7906.875888526085,9693.890601751857,9693.890601751857
