货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻（s）,期望送达时间（s）,硬截止时间（s）,硬截止违例
S001-FOD-01,Q2-006,S001,应急食品,否,2945.995191296934,7200,,False
S001-FOD-02,Q2-006,S001,应急食品,否,2945.995191296934,7200,,False
S001-FOD-03,Q2-006,S001,应急食品,否,2945.995191296934,7200,,False
S001-HYG-01,Q2-006,S001,生活卫生用品,否,2945.995191296934,10800,,False
S001-HYG-02,Q2-009,S001,生活卫生用品,否,4440.1642694734255,10800,,False
S001-MED-01,Q2-006,S001,医疗物资,是,2945.995191296934,3600,3600.0,False
S001-MED-02,Q2-006,S001,医疗物资,否,2945.995191296934,3600,3600.0,False
S001-WAT-01,Q2-006,S001,饮用水,是,2945.995191296934,3600,3600.0,False
S001-WAT-02,Q2-009,S001,饮用水,否,4440.1642694734255,3600,,False
S001-WAT-03,Q2-006,S001,饮用水,否,2945.995191296934,3600,,False
S001-WAT-04,Q2-009,S001,饮用水,否,4440.1642694734255,3600,,False
S001-WAT-05,Q2-006,S001,饮用水,否,2945.995191296934,3600,,False
S001-WAT-06,Q2-009,S001,饮用水,否,4440.1642694734255,3600,,False
S001-WAT-07,Q2-009,S001,饮用水,否,4440.1642694734255,3600,,False
S001-WAT-08,Q2-009,S001,饮用水,否,4440.1642694734255,3600,,False
S002-FOD-01,Q2-007,S002,应急食品,否,3378.6632416983502,7200,,False
S002-FOD-02,Q2-015,S002,应急食品,否,1285.4691354527813,7200,,False
S002-HYG-01,Q2-007,S002,生活卫生用品,否,3378.6632416983502,10800,,False
S002-MED-01,Q2-007,S002,医疗物资,是,3378.6632416983502,3600,3600.0,False
S002-WAT-01,Q2-007,S002,饮用水,是,3378.6632416983502,3600,3600.0,False
S002-WAT-02,Q2-015,S002,饮用水,否,1285.4691354527813,3600,,False
S002-WAT-03,Q2-007,S002,饮用水,否,3378.6632416983502,3600,,False
S002-WAT-04,Q2-007,S002,饮用水,否,3378.6632416983502,3600,,False
S003-FOD-01,Q2-013,S003,应急食品,否,7955.071767594681,10800,,False
S003-FOD-02,Q2-014,S003,应急食品,否,4792.241451183167,10800,,False
S003-HYG-01,Q2-013,S003,生活卫生用品,否,7955.071767594681,14400,,False
S003-MED-01,Q2-014,S003,医疗物资,是,4792.241451183167,7200,7200.0,False
S003-WAT-01,Q2-014,S003,饮用水,是,4792.241451183167,7200,7200.0,False
S003-WAT-02,Q2-013,S003,饮用水,否,7955.071767594681,7200,,False
S003-WAT-03,Q2-013,S003,饮用水,否,7955.071767594681,7200,,False
S003-WAT-04,Q2-013,S003,饮用水,否,7955.071767594681,7200,,False
S004-FOD-01,Q2-010,S004,应急食品,否,5584.695227622417,10800,,False
S004-HYG-01,Q2-010,S004,生活卫生用品,否,5584.695227622417,14400,,False
S004-MED-01,Q2-010,S004,医疗物资,是,5584.695227622417,7200,7200.0,False
S004-WAT-01,Q2-010,S004,饮用水,是,5584.695227622417,7200,7200.0,False
S004-WAT-02,Q2-010,S004,饮用水,否,5584.695227622417,7200,,False
S004-WAT-03,Q2-010,S004,饮用水,否,5584.695227622417,7200,,False
S005-FOD-01,Q2-018,S005,应急食品,否,8465.87318153699,14400,,False
S005-HYG-01,Q2-018,S005,生活卫生用品,否,8465.87318153699,18000,,False
S005-MED-01,Q2-018,S005,医疗物资,是,8465.87318153699,10800,10800.0,False
S005-WAT-01,Q2-018,S005,饮用水,是,8465.87318153699,10800,10800.0,False
S005-WAT-02,Q2-018,S005,饮用水,否,8465.87318153699,10800,,False
S005-WAT-03,Q2-018,S005,饮用水,否,8465.87318153699,10800,,False
S006-FOD-01,Q2-002,S006,应急食品,否,1211.507826104344,7200,,False
S006-HYG-01,Q2-002,S006,生活卫生用品,否,1211.507826104344,10800,,False
S006-MED-01,Q2-002,S006,医疗物资,是,1211.507826104344,3600,3600.0,False
S006-WAT-01,Q2-002,S006,饮用水,是,1211.507826104344,3600,3600.0,False
S006-WAT-02,Q2-002,S006,饮用水,否,1211.507826104344,3600,,False
S006-WAT-03,Q2-002,S006,饮用水,否,1211.507826104344,3600,,False
S007-FOD-01,Q2-004,S007,应急食品,否,1338.6148010186484,7200,,False
S007-HYG-01,Q2-004,S007,生活卫生用品,否,1338.6148010186484,10800,,False
S007-MED-01,Q2-004,S007,医疗物资,是,1338.6148010186484,3600,3600.0,False
S007-WAT-01,Q2-004,S007,饮用水,是,1338.6148010186484,3600,3600.0,False
S007-WAT-02,Q2-004,S007,饮用水,否,1338.6148010186484,3600,,False
S008-FOD-01,Q2-012,S008,应急食品,否,6395.447727955412,10800,,False
S008-HYG-01,Q2-012,S008,生活卫生用品,否,6395.447727955412,14400,,False
S008-MED-01,Q2-012,S008,医疗物资,是,6395.447727955412,7200,7200.0,False
S008-WAT-01,Q2-012,S008,饮用水,是,6395.447727955412,7200,7200.0,False
S008-WAT-02,Q2-012,S008,饮用水,否,6395.447727955412,7200,,False
S009-FOD-01,Q2-016,S009,应急食品,否,5948.587857487368,14400,,False
S009-MED-01,Q2-016,S009,医疗物资,是,5948.587857487368,10800,10800.0,False
S009-WAT-01,Q2-016,S009,饮用水,是,5948.587857487368,10800,10800.0,False
S010-FOD-01,Q2-008,S010,应急食品,否,2930.9243106723975,7200,,False
S010-MED-01,Q2-008,S010,医疗物资,是,2930.9243106723975,3600,3600.0,False
S010-WAT-01,Q2-008,S010,饮用水,是,2930.9243106723975,3600,3600.0,False
S011-FOD-01,Q2-011,S011,应急食品,否,4307.474331864809,14400,,False
S011-MED-01,Q2-011,S011,医疗物资,是,4307.474331864809,10800,10800.0,False
S011-WAT-01,Q2-011,S011,饮用水,是,4307.474331864809,10800,10800.0,False
S012-FOD-01,Q2-005,S012,应急食品,否,2782.454065714872,7200,,False
S012-MED-01,Q2-005,S012,医疗物资,是,2782.454065714872,7200,3600.0,False
S012-WAT-01,Q2-005,S012,饮用水,是,2782.454065714872,3600,3600.0,False
S013-FOD-01,Q2-003,S013,应急食品,否,1058.0541710342939,7200,,False
S013-MED-01,Q2-003,S013,医疗物资,是,1058.0541710342939,3600,3600.0,False
S013-WAT-01,Q2-003,S013,饮用水,是,1058.0541710342939,3600,3600.0,False
S014-FOD-01,Q2-001,S014,应急食品,否,1230.4055962749649,7200,,False
S014-MED-01,Q2-001,S014,医疗物资,是,1230.4055962749649,7200,3600.0,False
S014-WAT-01,Q2-001,S014,饮用水,是,1230.4055962749649,3600,3600.0,False
S015-FOD-01,Q2-017,S015,应急食品,否,6742.108104464628,14400,,False
S015-MED-01,Q2-017,S015,医疗物资,是,6742.108104464628,7200,7200.0,False
S015-WAT-01,Q2-017,S015,饮用水,是,6742.108104464628,10800,10800.0,False
