架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2-001,U05,B-BAT-01,1,准备,0.0,300.0,,,
Q2-001,U05,B-BAT-01,2,装载,300.0,390.0,,,
Q2-001,U05,B-BAT-01,3,飞行,390.0,990.4055962749648,O01,S014,
Q2-001,U05,B-BAT-01,4,交接,990.4055962749648,1230.4055962749649,,,S014
Q2-001,U05,B-BAT-01,5,飞行,1230.4055962749649,1845.6978592165963,S014,O01,
Q2-002,U07,C-BAT-01,1,准备,0.0,300.0,,,
Q2-002,U07,C-BAT-01,2,装载,300.0,480.0,,,
Q2-002,U07,C-BAT-01,3,飞行,480.0,815.5078261043441,O01,S006,
Q2-002,U07,C-BAT-01,4,交接,815.5078261043441,1211.507826104344,,,S006
Q2-002,U07,C-BAT-01,5,飞行,1211.507826104344,1565.7256522086882,S006,O01,
Q2-003,U06,B-BAT-02,1,准备,0.0,300.0,,,
Q2-003,U06,B-BAT-02,2,装载,300.0,390.0,,,
Q2-003,U06,B-BAT-02,3,飞行,390.0,818.0541710342939,O01,S013,
Q2-003,U06,B-BAT-02,4,交接,818.0541710342939,1058.0541710342939,,,S013
Q2-003,U06,B-BAT-02,5,飞行,1058.0541710342939,1501.041675401921,S013,O01,
Q2-004,U08,C-BAT-02,1,准备,0.0,300.0,,,
Q2-004,U08,C-BAT-02,2,装载,300.0,450.0,,,
Q2-004,U08,C-BAT-02,3,飞行,450.0,978.6148010186483,O01,S007,
Q2-004,U08,C-BAT-02,4,交接,978.6148010186483,1338.6148010186484,,,S007
Q2-004,U08,C-BAT-02,5,飞行,1338.6148010186484,1889.3096020372968,S007,O01,
Q2-005,U06,B-BAT-03,1,准备,1501.041675401921,1801.041675401921,,,
Q2-005,U06,B-BAT-03,2,装载,1801.041675401921,1891.041675401921,,,
Q2-005,U06,B-BAT-03,3,飞行,1891.041675401921,2542.454065714872,O01,S012,
Q2-005,U06,B-BAT-03,4,交接,2542.454065714872,2782.454065714872,,,S012
Q2-005,U06,B-BAT-03,5,飞行,2782.454065714872,3444.0064560278224,S012,O01,
Q2-006,U07,C-BAT-03,1,准备,1565.7256522086882,1865.7256522086882,,,
Q2-006,U07,C-BAT-03,2,装载,1865.7256522086882,2135.725652208688,,,
Q2-006,U07,C-BAT-03,3,飞行,2135.725652208688,2441.995191296934,O01,S001,
Q2-006,U07,C-BAT-03,4,交接,2441.995191296934,2945.995191296934,,,S001
Q2-006,U07,C-BAT-03,5,飞行,2945.995191296934,3257.89473038518,S001,O01,
Q2-007,U08,C-BAT-04,1,准备,1889.3096020372968,2189.309602037297,,,
Q2-007,U08,C-BAT-04,2,装载,2189.309602037297,2369.309602037297,,,
Q2-007,U08,C-BAT-04,3,飞行,2369.309602037297,2982.6632416983502,O01,S002,
Q2-007,U08,C-BAT-04,4,交接,2982.6632416983502,3378.6632416983502,,,S002
Q2-007,U08,C-BAT-04,5,飞行,3378.6632416983502,4001.1968813594035,S002,O01,
Q2-008,U05,B-BAT-04,1,准备,1845.6978592165963,2145.697859216596,,,
Q2-008,U05,B-BAT-04,2,装载,2145.697859216596,2235.697859216596,,,
Q2-008,U05,B-BAT-04,3,飞行,2235.697859216596,2690.9243106723975,O01,S010,
Q2-008,U05,B-BAT-04,4,交接,2690.9243106723975,2930.9243106723975,,,S010
Q2-008,U05,B-BAT-04,5,飞行,2930.9243106723975,3401.0774287948657,S010,O01,
Q2-009,U07,C-BAT-01,1,准备,3257.89473038518,3557.89473038518,,,
Q2-009,U07,C-BAT-01,2,装载,3557.89473038518,3737.89473038518,,,
Q2-009,U07,C-BAT-01,3,飞行,3737.89473038518,4044.164269473426,O01,S001,
Q2-009,U07,C-BAT-01,4,交接,4044.164269473426,4440.1642694734255,,,S001
Q2-009,U07,C-BAT-01,5,飞行,4440.1642694734255,4752.063808561671,S001,O01,
Q2-010,U08,C-BAT-02,1,准备,4001.1968813594035,4301.196881359403,,,
Q2-010,U08,C-BAT-02,2,装载,4301.196881359403,4481.196881359403,,,
