架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,货箱编号列表,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）
Q2-001,U05,B,B-BAT-01,0.0,S014,S014-FOD-01;S014-MED-01;S014-WAT-01,1845.6978592165963,2.130694681397041,46.732632965073975
Q2-002,U07,C,C-BAT-01,0.0,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,1565.7256522086882,2.5996867357077136,67.50391580365358
Q2-003,U06,B,B-BAT-02,0.0,S013,S013-FOD-01;S013-MED-01;S013-WAT-01,1501.041675401921,1.8209529704015748,54.47617573996063
Q2-004,U08,C,C-BAT-02,0.0,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,1889.3096020372968,3.403731022318619,57.453362221017265
Q2-005,U06,B,B-BAT-03,1501.041675401921,S012,S012-FOD-01;S012-MED-01;S012-WAT-01,3444.0064560278224,2.760456447566475,30.988588810838124
Q2-006,U07,C,C-BAT-03,1565.7256522086882,S001,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-03;S001-WAT-05;S001-FOD-01,3257.89473038518,2.9957334380847778,62.55333202394028
Q2-007,U08,C,C-BAT-04,1889.3096020372968,S002,S002-MED-01;S002-WAT-01;S002-WAT-04;S002-HYG-01;S002-FOD-01;S002-WAT-03,4001.1968813594035,5.8547361996384755,26.815797504519058
Q2-008,U05,B,B-BAT-04,1845.6978592165963,S010,S010-FOD-01;S010-MED-01;S010-WAT-01,3401.0774287948657,1.8231528292723531,54.42117926819117
Q2-009,U07,C,C-BAT-01,3257.89473038518,S001,S001-WAT-02;S001-WAT-04;S001-WAT-06;S001-WAT-08;S001-WAT-07;S001-HYG-02,4752.063808561671,2.9175468585122437,63.53066426859695
Q2-010,U08,C,C-BAT-02,4001.1968813594035,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,6302.253573885432,6.152871596056126,23.089105049298418
Q2-011,U05,B,B-BAT-02,3401.0774287948657,S011,S011-FOD-01;S011-MED-01;S011-WAT-01,4589.497901601419,1.0739252699396358,73.1518682515091
Q2-012,U07,C,C-BAT-03,4902.572536533141,S008,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,7092.642919377684,5.832225181246579,27.097185234417765
Q2-013,U08,C,C-BAT-01,6375.566082742071,S003,S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01,8745.65745244729,5.764874419169901,27.939069760376235
Q2-014,U06,B,B-BAT-01,3444.0064560278224,S003,S003-MED-01;S003-WAT-01;S003-FOD-02,5524.529779671844,2.779848267267533,30.50379331831168
Q2-015,U01,A,A-BAT-01,0.0,S002,S002-WAT-02;S002-FOD-02,2007.0582709055627,3.0200488542177153,32.88780323960633
Q2-016,U05,B,B-BAT-04,4857.776988146219,S009,S009-FOD-01;S009-MED-01;S009-WAT-01,6416.218726828517,2.0962091833149565,47.594770417126085
Q2-017,U06,B,B-BAT-03,5524.529779671844,S015,S015-FOD-01;S015-MED-01;S015-WAT-01,7352.806429257412,2.3073930252979054,42.315174367552366
Q2-018,U07,C,C-BAT-04,7092.642919377684,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,8969.833443696296,4.222147882156408,47.2231514730449
