服务区编号,首箱交付时刻（s）,末箱交付时刻（s）,货箱数,硬截止违例数
S001,2945.995191296934,4440.1642694734255,15,0
S002,1285.4691354527813,3378.6632416983502,8,0
S003,4792.241451183167,7955.071767594681,8,0
S004,5584.695227622417,5584.695227622417,6,0
S005,8465.87318153699,8465.87318153699,6,0
S006,1211.507826104344,1211.507826104344,6,0
S007,1338.6148010186484,1338.6148010186484,5,0
S008,6395.447727955412,6395.447727955412,5,0
S009,5948.587857487368,5948.587857487368,3,0
S010,2930.9243106723975,2930.9243106723975,3,0
S011,4307.474331864809,4307.474331864809,3,0
S012,2782.454065714872,2782.454065714872,3,0
S013,1058.0541710342939,1058.0541710342939,3,0
S014,1230.4055962749649,1230.4055962749649,3,0
S015,6742.108104464628,6742.108104464628,3,0
