电池编号,机型编号,架次编号,任务开始时刻（s）,任务结束时刻（s）,任务后SOC（%）,充电开始时刻（s）,充电结束时刻（s）,再次可用时刻（s）
C-BAT-01,C,Q2B-001,0.0,1692.169078176492,63.53066426859695,1692.169078176492,3315.6713523568915,3315.6713523568915
B-BAT-01,B,Q2B-002,0.0,1820.0145864510127,32.13196761904238,1820.0145864510127,3663.060481054278,3663.060481054278
C-BAT-02,C,Q2B-003,0.0,1565.7256522086882,67.50391580365358,1565.7256522086882,3103.140809796194,3103.140809796194
C-BAT-03,C,Q2B-004,1565.7256522086882,3455.035254245985,57.453362221017265,3455.035254245985,5210.212406123945,5210.212406123945
B-BAT-02,B,Q2B-005,0.0,1555.37956957827,54.42117926819117,1555.37956957827,3012.079128929623,3012.079128929623
B-BAT-03,B,Q2B-006,1555.37956957827,3056.421244980191,54.47617573996063,3056.421244980191,4512.167532154207,4512.167532154207
B-BAT-04,B,Q2B-007,1820.0145864510127,3762.979367076914,30.988588810838124,3762.979367076914,5625.843827689054,5625.843827689054
B-BAT-02,B,Q2B-008,3056.421244980191,4902.119104196788,46.732632965073975,4902.119104196788,6492.086799468839,6492.086799468839
C-BAT-04,C,Q2B-009,1692.169078176492,3186.338156352984,62.55333202394028,3186.338156352984,4831.015962500945,4831.015962500945
B-BAT-01,B,Q2B-010,3762.979367076914,5843.502690720936,30.50379331831168,5843.502690720936,7714.770273203533,7714.770273203533
C-BAT-02,C,Q2B-011,3186.338156352984,5487.394848879013,23.089105049298418,5487.394848879013,7987.130906144213,7987.130906144213
C-BAT-01,C,Q2B-012,3455.035254245985,5645.105637090528,27.097185234417765,5645.105637090528,8057.999957011476,8057.999957011476
B-BAT-03,B,Q2B-013,4902.119104196788,6730.395753782355,42.315174367552366,6730.395753782355,8396.932731411447,8396.932731411447
C-BAT-03,C,Q2B-014,5487.394848879013,7364.585373197626,47.2231514730449,7364.585373197626,9341.417091281653,9341.417091281653
B-BAT-04,B,Q2B-015,5843.502690720936,7401.944429403234,47.594770417126085,7401.944429403234,8976.968408839715,8976.968408839715
B-BAT-02,B,Q2B-016,6730.395753782355,7918.816226588908,73.1518682515091,7918.816226588908,9050.850510229417,9050.850510229417
C-BAT-04,C,Q2B-017,5645.105637090528,7690.992916412635,28.464197666611966,7690.992916412635,10074.268633636042,10074.268633636042
C-BAT-02,C,Q2B-018,7987.130906144213,10357.222275849435,27.939069760376235,10357.222275849435,12751.875764374618,12751.875764374618
