货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻（s）,期望送达时间（s）,硬截止时间（s）,硬截止违例
S001-FOD-01,Q2B-009,S001,应急食品,否,2874.438617264738,7200,,False
S001-FOD-02,Q2B-001,S001,应急食品,否,1380.269539088246,7200,,False
S001-FOD-03,Q2B-001,S001,应急食品,否,1380.269539088246,7200,,False
S001-HYG-01,Q2B-001,S001,生活卫生用品,否,1380.269539088246,10800,,False
S001-HYG-02,Q2B-001,S001,生活卫生用品,否,1380.269539088246,10800,,False
S001-MED-01,Q2B-001,S001,医疗物资,是,1380.269539088246,3600,3600.0,False
S001-MED-02,Q2B-001,S001,医疗物资,否,1380.269539088246,3600,3600.0,False
S001-WAT-01,Q2B-009,S001,饮用水,是,2874.438617264738,3600,3600.0,False
S001-WAT-02,Q2B-009,S001,饮用水,否,2874.438617264738,3600,,False
S001-WAT-03,Q2B-009,S001,饮用水,否,2874.438617264738,3600,,False
S001-WAT-04,Q2B-009,S001,饮用水,否,2874.438617264738,3600,,False
S001-WAT-05,Q2B-009,S001,饮用水,否,2874.438617264738,3600,,False
S001-WAT-06,Q2B-001,S001,饮用水,否,1380.269539088246,3600,,False
S001-WAT-07,Q2B-001,S001,饮用水,否,1380.269539088246,3600,,False
S001-WAT-08,Q2B-001,S001,饮用水,否,1380.269539088246,3600,,False
S002-FOD-01,Q2B-002,S002,应急食品,否,1221.9472932255064,7200,,False
S002-FOD-02,Q2B-017,S002,应急食品,否,7068.4592767515815,7200,,False
S002-HYG-01,Q2B-017,S002,生活卫生用品,否,7068.4592767515815,10800,,False
S002-MED-01,Q2B-002,S002,医疗物资,是,1221.9472932255064,3600,3600.0,False
S002-WAT-01,Q2B-002,S002,饮用水,是,1221.9472932255064,3600,3600.0,False
S002-WAT-02,Q2B-017,S002,饮用水,否,7068.4592767515815,3600,,False
S002-WAT-03,Q2B-017,S002,饮用水,否,7068.4592767515815,3600,,False
S002-WAT-04,Q2B-017,S002,饮用水,否,7068.4592767515815,3600,,False
S003-FOD-01,Q2B-010,S003,应急食品,否,5111.214362232258,10800,,False
S003-FOD-02,Q2B-018,S003,应急食品,否,9566.636590996824,10800,,False
S003-HYG-01,Q2B-018,S003,生活卫生用品,否,9566.636590996824,14400,,False
S003-MED-01,Q2B-010,S003,医疗物资,是,5111.214362232258,7200,7200.0,False
S003-WAT-01,Q2B-010,S003,饮用水,是,5111.214362232258,7200,7200.0,False
S003-WAT-02,Q2B-018,S003,饮用水,否,9566.636590996824,7200,,False
S003-WAT-03,Q2B-018,S003,饮用水,否,9566.636590996824,7200,,False
S003-WAT-04,Q2B-018,S003,饮用水,否,9566.636590996824,7200,,False
S004-FOD-01,Q2B-011,S004,应急食品,否,4769.836502615998,10800,,False
S004-HYG-01,Q2B-011,S004,生活卫生用品,否,4769.836502615998,14400,,False
S004-MED-01,Q2B-011,S004,医疗物资,是,4769.836502615998,7200,7200.0,False
S004-WAT-01,Q2B-011,S004,饮用水,是,4769.836502615998,7200,7200.0,False
S004-WAT-02,Q2B-011,S004,饮用水,否,4769.836502615998,7200,,False
S004-WAT-03,Q2B-011,S004,饮用水,否,4769.836502615998,7200,,False
S005-FOD-01,Q2B-014,S005,应急食品,否,6860.625111038319,14400,,False
S005-HYG-01,Q2B-014,S005,生活卫生用品,否,6860.625111038319,18000,,False
S005-MED-01,Q2B-014,S005,医疗物资,是,6860.625111038319,10800,10800.0,False
S005-WAT-01,Q2B-014,S005,饮用水,是,6860.625111038319,10800,10800.0,False
S005-WAT-02,Q2B-014,S005,饮用水,否,6860.625111038319,10800,,False
S005-WAT-03,Q2B-014,S005,饮用水,否,6860.625111038319,10800,,False
S006-FOD-01,Q2B-003,S006,应急食品,否,1211.507826104344,7200,,False
S006-HYG-01,Q2B-003,S006,生活卫生用品,否,1211.507826104344,10800,,False
S006-MED-01,Q2B-003,S006,医疗物资,是,1211.507826104344,3600,3600.0,False
S006-WAT-01,Q2B-003,S006,饮用水,是,1211.507826104344,3600,3600.0,False
S006-WAT-02,Q2B-003,S006,饮用水,否,1211.507826104344,3600,,False
S006-WAT-03,Q2B-003,S006,饮用水,否,1211.507826104344,3600,,False
S007-FOD-01,Q2B-004,S007,应急食品,否,2904.3404532273366,7200,,False
S007-HYG-01,Q2B-004,S007,生活卫生用品,否,2904.3404532273366,10800,,False
S007-MED-01,Q2B-004,S007,医疗物资,是,2904.3404532273366,3600,3600.0,False
S007-WAT-01,Q2B-004,S007,饮用水,是,2904.3404532273366,3600,3600.0,False
S007-WAT-02,Q2B-004,S007,饮用水,否,2904.3404532273366,3600,,False
S008-FOD-01,Q2B-012,S008,应急食品,否,4947.910445668256,10800,,False
S008-HYG-01,Q2B-012,S008,生活卫生用品,否,4947.910445668256,14400,,False
S008-MED-01,Q2B-012,S008,医疗物资,是,4947.910445668256,7200,7200.0,False
S008-WAT-01,Q2B-012,S008,饮用水,是,4947.910445668256,7200,7200.0,False
S008-WAT-02,Q2B-012,S008,饮用水,否,4947.910445668256,7200,,False
S009-FOD-01,Q2B-015,S009,应急食品,否,6934.313560062084,14400,,False
S009-MED-01,Q2B-015,S009,医疗物资,是,6934.313560062084,10800,10800.0,False
S009-WAT-01,Q2B-015,S009,饮用水,是,6934.313560062084,10800,10800.0,False
S010-FOD-01,Q2B-005,S010,应急食品,否,1085.2264514558017,7200,,False
S010-MED-01,Q2B-005,S010,医疗物资,是,1085.2264514558017,3600,3600.0,False
S010-WAT-01,Q2B-005,S010,饮用水,是,1085.2264514558017,3600,3600.0,False
S011-FOD-01,Q2B-016,S011,应急食品,否,7636.792656852298,14400,,False
S011-MED-01,Q2B-016,S011,医疗物资,是,7636.792656852298,10800,10800.0,False
