架次编号,航段序号,起点,终点,载荷（kg）,水平距离（m）,爬升（m）,下降（m）,开始时刻（s）,结束时刻（s）,水平能耗（kWh）,爬升能耗（kWh）,总能耗（kWh）
Q2B-001,1,O01,S001,76,3053.978849873493,145.3566101074219,89.05661010742188,570.0,876.2695390882459,1.874071793883134,0.08023719843148207,1.954308992314616
Q2B-001,2,S001,O01,0,3053.978849873493,89.05661010742188,145.3566101074219,1380.269539088246,1692.169078176492,0.9396857999610747,0.023552066236553013,0.9632378661976277
Q2B-002,1,O01,S002,25,7411.310533636502,183.51807861328126,91.71807861328125,390.0,981.9472932255064,1.5709175695963546,0.06248949880669912,1.6334070684030537
Q2B-002,2,S002,O01,0,7411.310533636502,91.71807861328125,183.51807861328126,1221.9472932255064,1820.0145864510127,1.0587586476623574,0.022555579172893803,1.0813142268352511
Q2B-003,1,O01,S006,59,3186.208184411841,240.7154968261719,53.615496826171864,480.0,815.5078261043441,1.4877426187531184,0.11739312022141349,1.605135738974532
Q2B-003,2,S006,O01,0,3186.208184411841,53.615496826171864,240.7154968261719,1211.507826104344,1565.7256522086882,0.9803717490497973,0.014179247683384043,0.9945509967331814
Q2B-004,1,O01,S007,45,4534.460604757263,374.13047485351564,153.33047485351562,2015.7256522086882,2544.3404532273366,1.8053217959842294,0.16264053425093908,1.9679623302351685
Q2B-004,2,S007,O01,0,4534.460604757263,153.33047485351562,374.13047485351564,2904.3404532273366,3455.035254245985,1.3952186476176196,0.040550044465830944,1.4357686920834505
Q2B-005,1,O01,S010,25,4784.494879747181,307.93653564453126,84.03653564453123,390.0,845.2264514558017,1.014131985716533,0.10485506344716815,1.118987049163701
Q2B-005,2,S010,O01,0,4784.494879747181,84.03653564453123,307.93653564453126,1085.2264514558017,1555.37956957827,0.6834992685353115,0.020666511573340565,0.704165780108652
Q2B-006,1,O01,S013,25,4849.242423912845,265.0518310546875,41.05183105468751,1945.37956957827,2373.433740612564,1.0278560166091033,0.09025244927126566,1.118108465880369
Q2B-006,2,S013,O01,0,4849.242423912845,41.05183105468751,265.0518310546875,2613.433740612564,3056.421244980191,0.692748917701835,0.010095586819370884,0.7028445045212058
Q2B-007,1,O01,S012,25,7390.491866657153,299.39036254882814,147.2903625488281,2210.0145864510127,2861.4269767639635,1.5665047994681829,0.10194501732255086,1.6684498167907338
Q2B-007,2,S012,O01,0,7390.491866657153,147.2903625488281,299.39036254882814,3101.4269767639635,3762.979367076914,1.0557845523795932,0.03622207839614785,1.092006630775741
Q2B-008,1,O01,S014,25,5419.601888460408,447.8438232421875,224.5438232421875,3446.421244980191,4046.826841255156,1.1487506545785775,0.1524947093471527,1.3012453639257302
Q2B-008,2,S014,O01,0,5419.601888460408,224.5438232421875,447.8438232421875,4286.826841255156,4902.119104196788,0.7742288412086298,0.05522047626268127,0.829449317471311
Q2B-009,1,O01,S001,78,3053.978849873493,145.3566101074219,89.05661010742188,2172.169078176492,2478.438617264738,1.951158480399719,0.0813370914874311,2.03249557188715
Q2B-009,2,S001,O01,0,3053.978849873493,89.05661010742188,145.3566101074219,2874.438617264738,3186.338156352984,0.9396857999610747,0.023552066236553013,0.9632378661976277
Q2B-010,1,O01,S003,25,7263.1794073106375,434.10413818359376,223.30413818359375,4152.979367076914,4871.214362232258,1.5395193724902865,0.14781622731660207,1.6873355998068886
Q2B-010,2,S003,O01,0,7263.1794073106375,223.30413818359375,434.10413818359376,5111.214362232258,5843.502690720936,1.037597058187234,0.05491560927341013,1.0925126674606442
Q2B-011,1,O01,S004,59,7714.696449438381,270.53916625976564,169.9391662597656,3666.338156352984,4373.836502615998,3.6022387848744826,0.13193764958251986,3.7341764344570025
Q2B-011,2,S004,O01,0,7714.696449438381,169.9391662597656,270.53916625976564,4769.836502615998,5487.394848879013,2.373752753673348,0.04494240792577662,2.4186951615991243
Q2B-012,1,O01,S008,45,8079.033147823332,239.85886840820314,96.65886840820315,3905.035254245985,4587.910445668256,3.2165357478114665,0.10427050754956503,3.3208062553610316
Q2B-012,2,S008,O01,0,8079.033147823332,96.65886840820315,239.85886840820314,4947.910445668256,5645.105637090528,2.48585635317641,0.025562572709137282,2.5114189258855473
Q2B-013,1,O01,S015,25,6009.38306280972,444.09925537109376,97.29925537109375,5292.119104196788,5879.697428989572,1.2737619605814177,0.15121965148211583,1.4249816120635335
Q2B-013,2,S015,O01,0,6009.38306280972,97.29925537109375,444.09925537109376,6119.697428989572,6730.395753782355,0.8584832946871029,0.023928118547268853,0.8824114132343718
Q2B-014,1,O01,S005,59,5280.606935319285,198.710888671875,131.410888671875,5967.394848879013,6464.625111038319,2.46568445495598,0.09690814073348461,2.5625925956894644
Q2B-014,2,S005,O01,0,5280.606935319285,131.410888671875,198.710888671875,6860.625111038319,7364.585373197626,1.6248021339443954,0.03475315252254769,1.6595552864669432
Q2B-015,1,O01,S009,25,5705.145004228565,165.52891235351564,63.228912353515625,6233.502690720936,6694.313560062084,1.2092749971225387,0.0563640315392918,1.2656390286618304
Q2B-015,2,S009,O01,0,5705.145004228565,63.228912353515625,165.52891235351564,6934.313560062084,7401.944429403234,0.815020714889795,0.015549439763331119,0.8305701546531261
Q2B-016,1,O01,S011,25,2808.0742369671166,167.66175537109376,83.26175537109376,7120.395753782355,7396.792656852298,0.595205549080947,0.05709028310103947,0.6522958321819865
Q2B-016,2,S011,O01,0,2808.0742369671166,83.26175537109376,167.66175537109376,7636.792656852298,7918.816226588908,0.4011534624238738,0.020475975333775414,0.4216294377576492
Q2B-017,1,O01,S002,56,7411.310533636502,183.51807861328126,91.71807861328125,6095.105637090528,6708.4592767515815,3.3307891571655732,0.08741586555292687,3.4182050227185
Q2B-017,2,S002,O01,0,7411.310533636502,91.71807861328125,183.51807861328126,7068.4592767515815,7690.992916412635,2.2804032411189237,0.024255922833619648,2.304659163952543
Q2B-018,1,O01,S003,56,7263.1794073106375,434.10413818359376,223.30413818359375,8437.130906144213,9206.636590996824,3.264216106803477,0.2067784779906689,3.4709945847941457
Q2B-018,2,S003,O01,0,7263.1794073106375,223.30413818359375,434.10413818359376,9566.636590996824,10357.222275849435,2.2348244330186575,0.05905540135709797,2.2938798343757556
