架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2B-001,U07,C-BAT-01,1,准备,0.0,300.0,,,
Q2B-001,U07,C-BAT-01,2,装载,300.0,570.0,,,
Q2B-001,U07,C-BAT-01,3,飞行,570.0,876.2695390882459,O01,S001,
Q2B-001,U07,C-BAT-01,4,交接,876.2695390882459,1380.269539088246,,,S001
Q2B-001,U07,C-BAT-01,5,飞行,1380.269539088246,1692.169078176492,S001,O01,
Q2B-002,U05,B-BAT-01,1,准备,0.0,300.0,,,
Q2B-002,U05,B-BAT-01,2,装载,300.0,390.0,,,
Q2B-002,U05,B-BAT-01,3,飞行,390.0,981.9472932255064,O01,S002,
Q2B-002,U05,B-BAT-01,4,交接,981.9472932255064,1221.9472932255064,,,S002
Q2B-002,U05,B-BAT-01,5,飞行,1221.9472932255064,1820.0145864510127,S002,O01,
Q2B-003,U08,C-BAT-02,1,准备,0.0,300.0,,,
Q2B-003,U08,C-BAT-02,2,装载,300.0,480.0,,,
Q2B-003,U08,C-BAT-02,3,飞行,480.0,815.5078261043441,O01,S006,
Q2B-003,U08,C-BAT-02,4,交接,815.5078261043441,1211.507826104344,,,S006
Q2B-003,U08,C-BAT-02,5,飞行,1211.507826104344,1565.7256522086882,S006,O01,
Q2B-004,U08,C-BAT-03,1,准备,1565.7256522086882,1865.7256522086882,,,
Q2B-004,U08,C-BAT-03,2,装载,1865.7256522086882,2015.7256522086882,,,
Q2B-004,U08,C-BAT-03,3,飞行,2015.7256522086882,2544.3404532273366,O01,S007,
Q2B-004,U08,C-BAT-03,4,交接,2544.3404532273366,2904.3404532273366,,,S007
Q2B-004,U08,C-BAT-03,5,飞行,2904.3404532273366,3455.035254245985,S007,O01,
Q2B-005,U06,B-BAT-02,1,准备,0.0,300.0,,,
Q2B-005,U06,B-BAT-02,2,装载,300.0,390.0,,,
Q2B-005,U06,B-BAT-02,3,飞行,390.0,845.2264514558017,O01,S010,
Q2B-005,U06,B-BAT-02,4,交接,845.2264514558017,1085.2264514558017,,,S010
Q2B-005,U06,B-BAT-02,5,飞行,1085.2264514558017,1555.37956957827,S010,O01,
Q2B-006,U06,B-BAT-03,1,准备,1555.37956957827,1855.37956957827,,,
Q2B-006,U06,B-BAT-03,2,装载,1855.37956957827,1945.37956957827,,,
Q2B-006,U06,B-BAT-03,3,飞行,1945.37956957827,2373.433740612564,O01,S013,
Q2B-006,U06,B-BAT-03,4,交接,2373.433740612564,2613.433740612564,,,S013
Q2B-006,U06,B-BAT-03,5,飞行,2613.433740612564,3056.421244980191,S013,O01,
Q2B-007,U05,B-BAT-04,1,准备,1820.0145864510127,2120.0145864510127,,,
Q2B-007,U05,B-BAT-04,2,装载,2120.0145864510127,2210.0145864510127,,,
Q2B-007,U05,B-BAT-04,3,飞行,2210.0145864510127,2861.4269767639635,O01,S012,
Q2B-007,U05,B-BAT-04,4,交接,2861.4269767639635,3101.4269767639635,,,S012
Q2B-007,U05,B-BAT-04,5,飞行,3101.4269767639635,3762.979367076914,S012,O01,
Q2B-008,U06,B-BAT-02,1,准备,3056.421244980191,3356.421244980191,,,
Q2B-008,U06,B-BAT-02,2,装载,3356.421244980191,3446.421244980191,,,
Q2B-008,U06,B-BAT-02,3,飞行,3446.421244980191,4046.826841255156,O01,S014,
Q2B-008,U06,B-BAT-02,4,交接,4046.826841255156,4286.826841255156,,,S014
Q2B-008,U06,B-BAT-02,5,飞行,4286.826841255156,4902.119104196788,S014,O01,
Q2B-009,U07,C-BAT-04,1,准备,1692.169078176492,1992.169078176492,,,
Q2B-009,U07,C-BAT-04,2,装载,1992.169078176492,2172.169078176492,,,
Q2B-009,U07,C-BAT-04,3,飞行,2172.169078176492,2478.438617264738,O01,S001,
Q2B-009,U07,C-BAT-04,4,交接,2478.438617264738,2874.438617264738,,,S001
Q2B-009,U07,C-BAT-04,5,飞行,2874.438617264738,3186.338156352984,S001,O01,
Q2B-010,U05,B-BAT-01,1,准备,3762.979367076914,4062.979367076914,,,
Q2B-010,U05,B-BAT-01,2,装载,4062.979367076914,4152.979367076914,,,
Q2B-010,U05,B-BAT-01,3,飞行,4152.979367076914,4871.214362232258,O01,S003,
Q2B-010,U05,B-BAT-01,4,交接,4871.214362232258,5111.214362232258,,,S003
Q2B-010,U05,B-BAT-01,5,飞行,5111.214362232258,5843.502690720936,S003,O01,
