架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,货箱编号列表,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）
Q2B-001,U07,C,C-BAT-01,0.0,S001,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,1692.169078176492,2.9175468585122437,63.53066426859695
Q2B-002,U05,B,B-BAT-01,0.0,S002,S002-FOD-01;S002-MED-01;S002-WAT-01,1820.0145864510127,2.714721295238305,32.13196761904238
Q2B-003,U08,C,C-BAT-02,0.0,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,1565.7256522086882,2.5996867357077136,67.50391580365358
Q2B-004,U08,C,C-BAT-03,1565.7256522086882,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,3455.035254245985,3.403731022318619,57.453362221017265
Q2B-005,U06,B,B-BAT-02,0.0,S010,S010-FOD-01;S010-MED-01;S010-WAT-01,1555.37956957827,1.8231528292723531,54.42117926819117
Q2B-006,U06,B,B-BAT-03,1555.37956957827,S013,S013-FOD-01;S013-MED-01;S013-WAT-01,3056.421244980191,1.8209529704015748,54.47617573996063
Q2B-007,U05,B,B-BAT-04,1820.0145864510127,S012,S012-FOD-01;S012-MED-01;S012-WAT-01,3762.979367076914,2.760456447566475,30.988588810838124
Q2B-008,U06,B,B-BAT-02,3056.421244980191,S014,S014-FOD-01;S014-MED-01;S014-WAT-01,4902.119104196788,2.130694681397041,46.732632965073975
Q2B-009,U07,C,C-BAT-04,1692.169078176492,S001,S001-FOD-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,3186.338156352984,2.9957334380847778,62.55333202394028
Q2B-010,U05,B,B-BAT-01,3762.979367076914,S003,S003-FOD-01;S003-MED-01;S003-WAT-01,5843.502690720936,2.779848267267533,30.50379331831168
Q2B-011,U07,C,C-BAT-02,3186.338156352984,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,5487.394848879013,6.152871596056126,23.089105049298418
Q2B-012,U08,C,C-BAT-01,3455.035254245985,S008,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,5645.105637090528,5.832225181246579,27.097185234417765
Q2B-013,U06,B,B-BAT-03,4902.119104196788,S015,S015-FOD-01;S015-MED-01;S015-WAT-01,6730.395753782355,2.3073930252979054,42.315174367552366
Q2B-014,U07,C,C-BAT-03,5487.394848879013,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,7364.585373197626,4.222147882156408,47.2231514730449
Q2B-015,U05,B,B-BAT-04,5843.502690720936,S009,S009-FOD-01;S009-MED-01;S009-WAT-01,7401.944429403234,2.0962091833149565,47.594770417126085
Q2B-016,U06,B,B-BAT-02,6730.395753782355,S011,S011-FOD-01;S011-MED-01;S011-WAT-01,7918.816226588908,1.0739252699396358,73.1518682515091
Q2B-017,U08,C,C-BAT-04,5645.105637090528,S002,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,7690.992916412635,5.722864186671043,28.464197666611966
Q2B-018,U07,C,C-BAT-02,7987.130906144213,S003,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,10357.222275849435,5.764874419169901,27.939069760376235
