运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q2-001,climb,510.0,568.0,直连,
Q2-001,cruise,568.1426440429688,771.1426440429688,直连,
Q2-001,descent,771.741234034535,815.741234034535,直连,
Q2-001,handover,816.2695390882459,1247.269539088246,直连,
Q2-001,climb,1248.269539088246,1283.269539088246,直连,
Q2-001,cruise,1283.8921831312146,1486.8921831312146,直连,
Q2-001,descent,1487.4907731227809,1560.169078176492,直连,
Q2-002,climb,390.0,489.0,直连,
Q2-002,cruise,489.796787516276,752.796787516276,直连,
Q2-002,cruise,753.796787516276,981.796787516276,中继,RLY-002
Q2-002,descent,982.4962452934196,1040.4962452934196,中继,RLY-002
Q2-002,handover,1041.4123903129507,1280.4123903129507,中继,RLY-002
Q2-002,climb,1281.4123903129507,1330.4123903129507,中继,RLY-002
Q2-002,cruise,1330.5091778292267,1559.5091778292267,中继,RLY-002
Q2-002,cruise,1560.5091778292267,1822.5091778292267,直连,
Q2-002,descent,1823.2086356063703,1942.9647806259015,直连,
Q2-003,climb,390.0,478.0,直连,
Q2-003,cruise,478.3506103515625,741.3506103515625,直连,
Q2-003,cruise,742.3506103515625,801.3506103515625,中继,RLY-002
Q2-003,descent,801.6334386124188,817.6334386124188,中继,RLY-002
Q2-003,handover,818.0541710342939,1057.0541710342939,中继,RLY-002
Q2-003,climb,1058.0541710342939,1071.0541710342939,中继,RLY-002
Q2-003,cruise,1071.7381147191898,1131.7381147191898,中继,RLY-002
Q2-003,cruise,1132.7381147191898,1394.7381147191898,直连,
Q2-003,descent,1395.0209429800461,1501.041675401921,直连,
Q2-004,climb,450.0,599.0,直连,
Q2-004,cruise,599.6521899414063,861.6521899414063,直连,
Q2-004,cruise,862.6521899414063,901.6521899414063,中继,RLY-001
Q2-004,descent,901.9495635918905,977.9495635918905,中继,RLY-001
Q2-004,handover,978.6148010186483,1337.6148010186484,中继,RLY-001
Q2-004,climb,1338.6148010186484,1399.6148010186484,中继,RLY-001
Q2-004,cruise,1399.9469909600548,1438.9469909600548,中继,RLY-001
Q2-004,cruise,1439.9469909600548,1701.9469909600548,直连,
Q2-004,descent,1702.244364610539,1889.3096020372968,直连,
Q2-005,climb,2871.041675401921,2973.041675401921,直连,
Q2-005,cruise,2973.6871872834317,3236.6871872834317,直连,
Q2-005,cruise,3237.6871872834317,3291.6871872834317,中继,RLY-003
Q2-005,descent,3292.6535125999103,3325.6535125999103,中继,RLY-003
Q2-005,handover,3326.2681268577226,3565.2681268577226,中继,RLY-003
Q2-005,climb,3566.2681268577226,3594.2681268577226,中继,RLY-003
Q2-005,cruise,3594.2803054058995,3649.2803054058995,中继,RLY-003
Q2-005,cruise,3650.2803054058995,3912.2803054058995,直连,
Q2-005,descent,3913.246630722378,4036.4212449801907,直连,
Q2-006,climb,7454.5571367597995,7527.5571367597995,直连,
Q2-006,cruise,7527.964368205112,7790.964368205112,直连,
Q2-006,cruise,7791.964368205112,8021.964368205112,中继,RLY-006
Q2-006,descent,8022.051737114212,8067.051737114212,中继,RLY-006
Q2-006,handover,8067.910776420853,8390.910776420853,中继,RLY-006
Q2-006,climb,8391.910776420853,8427.910776420853,中继,RLY-006
Q2-006,cruise,8428.598007866165,8658.598007866165,中继,RLY-006
Q2-006,cruise,8659.598007866165,8922.598007866165,直连,
Q2-006,descent,8922.685376775265,9014.444416081906,直连,
Q2-007,climb,360.0,421.0,直连,
Q2-007,cruise,421.1726928710938,750.1726928710938,直连,
Q2-007,cruise,751.1726928710938,1038.1726928710937,中继,RLY-002
Q2-007,descent,1038.781904007469,1074.781904007469,中继,RLY-002
Q2-007,handover,1075.4691354527813,1284.4691354527813,中继,RLY-002
Q2-007,climb,1285.4691354527813,1315.4691354527813,中继,RLY-002
Q2-007,cruise,1316.041828323875,1604.041828323875,中继,RLY-002
Q2-007,cruise,1605.041828323875,1933.041828323875,直连,
Q2-007,descent,1933.65103946025,2007.0582709055627,直连,
Q2-008,climb,2732.9647806259018,2881.9647806259018,直连,
Q2-008,cruise,2882.246055039964,3144.246055039964,直连,
Q2-008,cruise,3145.246055039964,3243.246055039964,中继,RLY-003
Q2-008,descent,3243.5528476039913,3332.5528476039913,中继,RLY-003
Q2-008,handover,3333.3703769008666,3572.3703769008666,中继,RLY-003
Q2-008,climb,3573.3703769008666,3647.3703769008666,中继,RLY-003
Q2-008,cruise,3648.2183179815956,3747.2183179815956,中继,RLY-003
Q2-008,cruise,3748.2183179815956,4009.2183179815956,直连,
Q2-008,descent,4009.5251105456227,4188.662639842498,直连,
Q2-009,climb,2532.629303887711,2580.629303887711,直连,
Q2-009,cruise,2581.0815072568516,2835.0815072568516,直连,
Q2-009,descent,2835.5797447463096,2870.5797447463096,直连,
Q2-009,handover,2871.2023887892783,3050.2023887892783,直连,
Q2-009,climb,3051.2023887892783,3080.2023887892783,直连,
Q2-009,cruise,3080.8879254917524,3334.8879254917524,直连,
Q2-009,descent,3335.38616298121,3393.5288070241786,直连,
Q2-010,climb,2369.309602037297,2465.309602037297,直连,
Q2-010,cruise,2465.5958007677655,2677.5958007677655,直连,
Q2-010,descent,2678.009679728555,2704.009679728555,直连,
Q2-010,handover,2704.817428141641,3099.817428141641,直连,
Q2-010,climb,3100.817428141641,3121.817428141641,直连,
Q2-010,cruise,3122.26362687211,3334.26362687211,直连,
Q2-010,descent,3334.6775058328994,3455.035254245985,直连,
Q2-011,climb,9835.035254245984,9914.035254245984,直连,
Q2-011,cruise,9914.519609714735,10222.519609714735,直连,
Q2-011,cruise,10223.519609714735,10266.519609714735,中继,RLY-006
Q2-011,descent,10266.560072069355,10331.560072069355,中继,RLY-006
Q2-011,handover,10332.265516405292,10727.265516405292,中继,RLY-006
Q2-011,climb,10728.265516405292,10780.265516405292,中继,RLY-006
Q2-011,cruise,10780.82987187404,10823.82987187404,中继,RLY-006
Q2-011,cruise,10824.82987187404,11132.82987187404,直连,
Q2-011,descent,11132.87033422866,11232.225778564598,直连,
Q2-012,climb,360.0,408.0,直连,
Q2-012,cruise,408.45220336914065,662.4522033691406,直连,
Q2-012,descent,662.9504408585984,697.9504408585984,直连,
Q2-012,handover,698.5730849015672,907.5730849015672,直连,
Q2-012,climb,908.5730849015672,937.5730849015672,直连,
Q2-012,cruise,938.2586216040412,1192.2586216040413,直连,
Q2-012,descent,1192.7568590934989,1250.8995031364677,直连,
Q2-013,climb,4894.4867539152565,4989.4867539152565,直连,
Q2-013,cruise,4990.430301278538,5269.430301278538,直连,
Q2-013,cruise,5270.430301278538,5528.430301278538,中继,RLY-004
Q2-013,descent,5529.032511133426,5577.032511133426,中继,RLY-004
Q2-013,handover,5577.361945337528,5936.361945337528,中继,RLY-004
Q2-013,climb,5937.361945337528,5975.361945337528,中继,RLY-004
Q2-013,cruise,5976.025492700809,6235.025492700809,中继,RLY-004
Q2-013,cruise,6236.025492700809,6514.025492700809,直连,
Q2-013,descent,6514.627702555697,6634.5571367597995,直连,
Q2-014,climb,4426.421244980191,4481.421244980191,直连,
Q2-014,cruise,4482.308496770555,4669.308496770555,直连,
Q2-014,descent,4669.513445901696,4702.513445901696,直连,
Q2-014,handover,4702.8181480501335,4941.8181480501335,直连,
Q2-014,climb,4942.8181480501335,4969.8181480501335,直连,
Q2-014,cruise,4970.572066507166,5157.572066507166,直连,
Q2-014,descent,5157.777015638307,5224.841717786744,直连,
Q2-015,climb,4895.829241238041,5039.829241238041,直连,
Q2-015,cruise,5040.530620632572,5302.530620632572,直连,
Q2-015,cruise,5303.530620632572,5524.530620632572,中继,RLY-005
Q2-015,descent,5524.742581119948,5613.742581119948,中继,RLY-005
Q2-015,handover,5614.064236393385,5853.064236393385,中继,RLY-005
Q2-015,climb,5854.064236393385,5928.064236393385,中继,RLY-005
Q2-015,cruise,5928.498949121249,6149.498949121249,中继,RLY-005
Q2-015,cruise,6150.498949121249,6412.498949121249,直连,
Q2-015,descent,6412.710909608625,6586.352564882063,直连,
Q2-016,climb,2040.169078176492,2148.169078176492,直连,
Q2-016,cruise,2148.3847446803984,2487.3847446803984,直连,
Q2-016,cruise,2488.3847446803984,2662.3847446803984,中继,RLY-002
Q2-016,descent,2662.697841309624,2746.697841309624,中继,RLY-002
Q2-016,handover,2747.6674244395062,3142.6674244395062,中继,RLY-002
Q2-016,climb,3143.6674244395062,3210.6674244395062,中继,RLY-002
Q2-016,cruise,3211.643090943412,3386.643090943412,中继,RLY-002
Q2-016,cruise,3387.643090943412,3725.643090943412,直连,
Q2-016,descent,3725.9561875726376,3861.225770702521,直连,
Q2-017,climb,2592.629303887711,2640.629303887711,直连,
Q2-017,cruise,2641.0815072568516,2895.0815072568516,直连,
Q2-017,descent,2895.5797447463096,2930.5797447463096,直连,
Q2-017,handover,2931.2023887892783,3110.2023887892783,直连,
Q2-017,climb,3111.2023887892783,3140.2023887892783,直连,
Q2-017,cruise,3140.8879254917524,3394.8879254917524,直连,
Q2-017,descent,3395.38616298121,3453.5288070241786,直连,
Q2-018,climb,5883.120804331544,6031.120804331544,直连,
Q2-018,cruise,6031.153889455241,6293.153889455241,直连,
Q2-018,cruise,6294.153889455241,6431.153889455241,中继,RLY-005
Q2-018,descent,6431.77942697589,6469.77942697589,中继,RLY-005
Q2-018,handover,6470.699129124328,6709.699129124328,中继,RLY-005
Q2-018,climb,6710.699129124328,6742.699129124328,中继,RLY-005
Q2-018,cruise,6743.132214248026,6881.132214248026,中继,RLY-005
Q2-018,cruise,6882.132214248026,7143.132214248026,直连,
Q2-018,descent,7143.757751768674,7321.397453917111,直连,
Q2-019,climb,9524.444416081906,9582.444416081906,直连,
Q2-019,cruise,9582.587060124875,9785.587060124875,直连,
Q2-019,descent,9786.18565011644,9830.18565011644,直连,
Q2-019,handover,9830.713955170151,10153.713955170151,直连,
Q2-019,climb,10154.713955170151,10197.713955170151,直连,
Q2-019,cruise,10198.405520111559,10257.405520111559,直连,
Q2-019,cruise,10258.405520111559,10374.405520111559,中继,RLY-006
Q2-019,descent,10375.152105320605,10406.152105320605,中继,RLY-006
Q2-019,handover,10406.766561497363,10693.766561497363,中继,RLY-006
Q2-019,climb,10694.766561497363,10719.766561497363,中继,RLY-006
Q2-019,cruise,10720.05812643877,10836.05812643877,中继,RLY-006
Q2-019,cruise,10837.05812643877,11100.05812643877,直连,
Q2-019,descent,11100.401126720673,11183.16558289743,直连,
Q2-020,climb,330.0,474.0,直连,
Q2-020,cruise,474.70137939453116,801.7013793945312,直连,
Q2-020,cruise,802.7013793945312,1079.7013793945314,中继,RLY-001
Q2-020,descent,1079.9663300037507,1168.9663300037507,中继,RLY-001
Q2-020,handover,1169.2879852771887,1348.2879852771887,中继,RLY-001
Q2-020,climb,1349.2879852771887,1423.2879852771887,中继,RLY-001
Q2-020,cruise,1423.7226980050534,1700.7226980050534,中继,RLY-001
Q2-020,cruise,1701.7226980050534,2028.7226980050534,直连,
Q2-020,descent,2028.9876486142732,2202.629303887711,直连,
Q2-021,climb,360.0,504.0,直连,
Q2-021,cruise,504.70137939453116,831.7013793945312,直连,
Q2-021,cruise,832.7013793945312,1109.7013793945314,中继,RLY-001
Q2-021,descent,1109.9663300037507,1198.9663300037507,中继,RLY-001
Q2-021,handover,1199.2879852771887,1408.2879852771887,中继,RLY-001
Q2-021,climb,1409.2879852771887,1483.2879852771887,中继,RLY-001
Q2-021,cruise,1483.7226980050534,1760.7226980050534,中继,RLY-001
Q2-021,cruise,1761.7226980050534,2088.7226980050536,直连,
Q2-021,descent,2088.987648614273,2262.629303887711,直连,
Q2-022,climb,2403.200052582274,2464.200052582274,直连,
Q2-022,cruise,2464.3727454533678,2793.3727454533678,直连,
Q2-022,cruise,2794.3727454533678,3081.3727454533678,中继,RLY-002
Q2-022,descent,3081.981956589743,3117.981956589743,中继,RLY-002
Q2-022,handover,3118.6691880350554,3327.6691880350554,中继,RLY-002
Q2-022,climb,3328.6691880350554,3358.6691880350554,中继,RLY-002
Q2-022,cruise,3359.241880906149,3647.241880906149,中继,RLY-002
Q2-022,cruise,3648.241880906149,3976.241880906149,直连,
Q2-022,descent,3976.851092042524,4050.2583234878366,直连,
Q2-023,climb,6946.352564882063,7090.352564882063,直连,
Q2-023,cruise,7091.053944276595,7353.053944276595,直连,
Q2-023,cruise,7354.053944276595,7575.053944276595,中继,RLY-005
Q2-023,descent,7575.265904763971,7664.265904763971,中继,RLY-005
Q2-023,handover,7664.5875600374075,7873.5875600374075,中继,RLY-005
Q2-023,climb,7874.5875600374075,7948.5875600374075,中继,RLY-005
Q2-023,cruise,7949.022272765272,8170.022272765272,中继,RLY-005
Q2-023,cruise,8171.022272765272,8433.022272765273,直连,
Q2-023,descent,8433.234233252648,8606.875888526085,直连,
