电池编号,机型编号,架次编号,任务开始时刻（s）,任务结束时刻（s）,任务后SOC（%）,充电开始时刻（s）,充电结束时刻（s）,再次可用时刻（s）
A-BAT-01,A,Q2-007,0.0,2007.0582709055627,35.0827347692714,2007.0582709055627,3350.9827189050347,3350.9827189050347
A-BAT-02,A,Q2-012,0.0,1250.8995031364677,71.50398421054092,1250.8995031364677,2121.3477083994358,2121.3477083994358
A-BAT-02,A,Q2-009,2202.629303887711,3393.5288070241786,72.89995773493798,3393.5288070241786,4245.829356469985,4245.829356469985
A-BAT-03,A,Q2-020,0.0,2202.629303887711,34.85677327122689,2202.629303887711,3549.4912513617614,3549.4912513617614
A-BAT-04,A,Q2-021,0.0,2262.629303887711,31.477310914694677,2262.629303887711,3653.4242619966803,3653.4242619966803
A-BAT-05,A,Q2-022,2043.2000525822739,4050.2583234878366,32.88780323960633,4050.2583234878366,5422.716881372954,5422.716881372954
A-BAT-06,A,Q2-017,2262.629303887711,3453.5288070241786,72.89995773493798,3453.5288070241786,4305.829356469985,4305.829356469985
B-BAT-01,B,Q2-002,0.0,1942.9647806259015,30.988588810838124,1942.9647806259015,3805.8292412380406,3805.8292412380406
B-BAT-01,B,Q2-014,4036.4212449801907,5224.841717786744,73.1518682515091,5224.841717786744,6356.876001427253,6356.876001427253
B-BAT-01,B,Q2-023,6586.352564882063,8606.875888526085,35.3645357754363,8606.875888526085,10393.890601751857,10393.890601751857
B-BAT-02,B,Q2-003,0.0,1501.041675401921,54.47617573996063,1501.041675401921,2956.787962575937,2956.787962575937
B-BAT-02,B,Q2-015,4505.829241238041,6586.352564882063,30.50379331831168,6586.352564882063,8457.620147364662,8457.620147364662
B-BAT-03,B,Q2-008,2342.9647806259018,4188.662639842498,46.732632965073975,4188.662639842498,5778.630335114549,5778.630335114549
B-BAT-04,B,Q2-005,2481.041675401921,4036.4212449801907,54.42117926819117,4036.4212449801907,5493.120804331544,5493.120804331544
B-BAT-04,B,Q2-018,5493.120804331544,7321.397453917111,42.315174367552366,7321.397453917111,8987.934431546204,8987.934431546204
C-BAT-01,C,Q2-001,0.0,1560.169078176492,63.53066426859695,1560.169078176492,3183.6713523568915,3183.6713523568915
C-BAT-01,C,Q2-013,4444.4867539152565,6634.5571367597995,27.097185234417765,6634.5571367597995,9047.451456680748,9047.451456680748
C-BAT-01,C,Q2-011,9355.035254245984,11232.225778564598,47.2231514730449,11232.225778564598,13209.057496648626,13209.057496648626
C-BAT-02,C,Q2-004,0.0,1889.3096020372968,57.453362221017265,1889.3096020372968,3644.486753915256,3644.486753915256
C-BAT-02,C,Q2-006,7034.5571367597995,9014.444416081906,34.37283651509624,9014.444416081906,11269.699624921486,11269.699624921486
C-BAT-03,C,Q2-016,1560.169078176492,3861.225770702521,23.089105049298418,3861.225770702521,6360.961827967722,6360.961827967722
C-BAT-03,C,Q2-019,9014.444416081906,11183.16558289743,48.70523488185165,11183.16558289743,13127.885493790645,13127.885493790645
C-BAT-04,C,Q2-010,1889.3096020372968,3455.035254245985,67.50391580365358,3455.035254245985,4992.450411833491,4992.450411833491
