货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻（s）,期望送达时间（s）,硬截止时间（s）,硬截止违例
S001-FOD-01,Q2-012,S001,应急食品,否,908.5730849015672,7200.0,,False
S001-FOD-02,Q2-019,S001,应急食品,否,10154.713955170151,7200.0,,False
S001-FOD-03,Q2-019,S001,应急食品,否,10154.713955170151,7200.0,,False
S001-HYG-01,Q2-019,S001,生活卫生用品,否,10154.713955170151,10800.0,,False
S001-HYG-02,Q2-019,S001,生活卫生用品,否,10154.713955170151,10800.0,,False
S001-MED-01,Q2-001,S001,医疗物资,是,1248.269539088246,3600.0,3600.0,False
S001-MED-02,Q2-001,S001,医疗物资,否,1248.269539088246,3600.0,3600.0,False
S001-WAT-01,Q2-001,S001,饮用水,是,1248.269539088246,3600.0,3600.0,False
S001-WAT-02,Q2-012,S001,饮用水,否,908.5730849015672,3600.0,,False
S001-WAT-03,Q2-001,S001,饮用水,否,1248.269539088246,3600.0,,False
S001-WAT-04,Q2-001,S001,饮用水,否,1248.269539088246,3600.0,,False
S001-WAT-05,Q2-009,S001,饮用水,否,3051.2023887892783,3600.0,,False
S001-WAT-06,Q2-001,S001,饮用水,否,1248.269539088246,3600.0,,False
S001-WAT-07,Q2-017,S001,饮用水,否,3111.2023887892783,3600.0,,False
S001-WAT-08,Q2-001,S001,饮用水,否,1248.269539088246,3600.0,,False
S002-FOD-01,Q2-022,S002,应急食品,否,3328.6691880350554,7200.0,,False
S002-FOD-02,Q2-006,S002,应急食品,否,8391.910776420853,7200.0,,False
S002-HYG-01,Q2-006,S002,生活卫生用品,否,8391.910776420853,10800.0,,False
S002-MED-01,Q2-007,S002,医疗物资,是,1285.4691354527813,3600.0,3600.0,False
S002-WAT-01,Q2-007,S002,饮用水,是,1285.4691354527813,3600.0,3600.0,False
S002-WAT-02,Q2-022,S002,饮用水,否,3328.6691880350554,3600.0,,False
S002-WAT-03,Q2-006,S002,饮用水,否,8391.910776420853,3600.0,,False
S002-WAT-04,Q2-006,S002,饮用水,否,8391.910776420853,3600.0,,False
S003-FOD-01,Q2-015,S003,应急食品,否,5854.064236393385,10800.0,,False
S003-FOD-02,Q2-021,S003,应急食品,否,1409.2879852771887,10800.0,,False
S003-HYG-01,Q2-023,S003,生活卫生用品,否,7874.5875600374075,14400.0,,False
S003-MED-01,Q2-015,S003,医疗物资,是,5854.064236393385,7200.0,7200.0,False
S003-WAT-01,Q2-015,S003,饮用水,是,5854.064236393385,7200.0,7200.0,False
S003-WAT-02,Q2-023,S003,饮用水,否,7874.5875600374075,7200.0,,False
S003-WAT-03,Q2-020,S003,饮用水,否,1349.2879852771887,7200.0,,False
S003-WAT-04,Q2-021,S003,饮用水,否,1409.2879852771887,7200.0,,False
S004-FOD-01,Q2-016,S004,应急食品,否,3143.6674244395062,10800.0,,False
S004-HYG-01,Q2-016,S004,生活卫生用品,否,3143.6674244395062,14400.0,,False
S004-MED-01,Q2-016,S004,医疗物资,是,3143.6674244395062,7200.0,7200.0,False
S004-WAT-01,Q2-016,S004,饮用水,是,3143.6674244395062,7200.0,7200.0,False
S004-WAT-02,Q2-016,S004,饮用水,否,3143.6674244395062,7200.0,,False
S004-WAT-03,Q2-016,S004,饮用水,否,3143.6674244395062,7200.0,,False
S005-FOD-01,Q2-011,S005,应急食品,否,10728.265516405292,14400.0,,False
S005-HYG-01,Q2-011,S005,生活卫生用品,否,10728.265516405292,18000.0,,False
S005-MED-01,Q2-011,S005,医疗物资,是,10728.265516405292,10800.0,10800.0,False
S005-WAT-01,Q2-011,S005,饮用水,是,10728.265516405292,10800.0,10800.0,False
S005-WAT-02,Q2-011,S005,饮用水,否,10728.265516405292,10800.0,,False
S005-WAT-03,Q2-011,S005,饮用水,否,10728.265516405292,10800.0,,False
S006-FOD-01,Q2-010,S006,应急食品,否,3100.817428141641,7200.0,,False
S006-HYG-01,Q2-010,S006,生活卫生用品,否,3100.817428141641,10800.0,,False
S006-MED-01,Q2-010,S006,医疗物资,是,3100.817428141641,3600.0,3600.0,False
S006-WAT-01,Q2-010,S006,饮用水,是,3100.817428141641,3600.0,3600.0,False
S006-WAT-02,Q2-010,S006,饮用水,否,3100.817428141641,3600.0,,False
S006-WAT-03,Q2-010,S006,饮用水,否,3100.817428141641,3600.0,,False
S007-FOD-01,Q2-004,S007,应急食品,否,1338.6148010186484,7200.0,,False
S007-HYG-01,Q2-004,S007,生活卫生用品,否,1338.6148010186484,10800.0,,False
S007-MED-01,Q2-004,S007,医疗物资,是,1338.6148010186484,3600.0,3600.0,False
S007-WAT-01,Q2-004,S007,饮用水,是,1338.6148010186484,3600.0,3600.0,False
S007-WAT-02,Q2-004,S007,饮用水,否,1338.6148010186484,3600.0,,False
S008-FOD-01,Q2-013,S008,应急食品,否,5937.361945337528,10800.0,,False
S008-HYG-01,Q2-013,S008,生活卫生用品,否,5937.361945337528,14400.0,,False
S008-MED-01,Q2-013,S008,医疗物资,是,5937.361945337528,7200.0,7200.0,False
S008-WAT-01,Q2-013,S008,饮用水,是,5937.361945337528,7200.0,7200.0,False
S008-WAT-02,Q2-013,S008,饮用水,否,5937.361945337528,7200.0,,False
S009-FOD-01,Q2-019,S009,应急食品,否,10694.766561497363,14400.0,,False
S009-MED-01,Q2-019,S009,医疗物资,是,10694.766561497363,10800.0,10800.0,False
S009-WAT-01,Q2-019,S009,饮用水,是,10694.766561497363,10800.0,10800.0,False
S010-FOD-01,Q2-005,S010,应急食品,否,3566.2681268577226,7200.0,,False
S010-MED-01,Q2-005,S010,医疗物资,是,3566.2681268577226,3600.0,3600.0,False
S010-WAT-01,Q2-005,S010,饮用水,是,3566.2681268577226,3600.0,3600.0,False
S011-FOD-01,Q2-014,S011,应急食品,否,4942.8181480501335,14400.0,,False
S011-MED-01,Q2-014,S011,医疗物资,是,4942.8181480501335,10800.0,10800.0,False
