架次编号,航段序号,起点,终点,载荷（kg）,水平距离（m）,爬升（m）,下降（m）,开始时刻（s）,结束时刻（s）,水平能耗（kWh）,爬升能耗（kWh）,总能耗（kWh）
Q2-001,1,O01,S001,76.0,3053.978849873493,145.3566101074219,89.05661010742188,510.0,816.2695390882459,1.874071793883134,0.08023719843148207,1.954308992314616
Q2-001,2,S001,O01,0.0,3053.978849873493,89.05661010742188,145.3566101074219,1248.269539088246,1560.169078176492,0.9396857999610747,0.023552066236553013,0.9632378661976277
Q2-002,1,O01,S012,25.0,7390.491866657153,299.39036254882814,147.2903625488281,390.0,1041.4123903129507,1.5665047994681829,0.10194501732255086,1.6684498167907338
Q2-002,2,S012,O01,0.0,7390.491866657153,147.2903625488281,299.39036254882814,1281.4123903129507,1942.9647806259015,1.0557845523795932,0.03622207839614785,1.092006630775741
Q2-003,1,O01,S013,25.0,4849.242423912845,265.0518310546875,41.05183105468751,390.0,818.0541710342939,1.0278560166091033,0.09025244927126566,1.118108465880369
Q2-003,2,S013,O01,0.0,4849.242423912845,41.05183105468751,265.0518310546875,1058.0541710342939,1501.041675401921,0.692748917701835,0.010095586819370884,0.7028445045212058
Q2-004,1,O01,S007,45.0,4534.460604757263,374.13047485351564,153.33047485351562,450.0,978.6148010186483,1.8053217959842294,0.16264053425093908,1.9679623302351685
Q2-004,2,S007,O01,0.0,4534.460604757263,153.33047485351562,374.13047485351564,1338.6148010186484,1889.3096020372968,1.3952186476176196,0.040550044465830944,1.4357686920834505
Q2-005,1,O01,S010,25.0,4784.494879747181,307.93653564453126,84.03653564453123,2871.041675401921,3326.2681268577226,1.014131985716533,0.10485506344716815,1.118987049163701
Q2-005,2,S010,O01,0.0,4784.494879747181,84.03653564453123,307.93653564453126,3566.2681268577226,4036.4212449801907,0.6834992685353115,0.020666511573340565,0.704165780108652
Q2-006,1,O01,S002,42.0,7411.310533636502,183.51807861328126,91.71807861328125,7454.5571367597995,8067.910776420853,2.8678186379900947,0.07769527684966257,2.9455139148397573
Q2-006,2,S002,O01,0.0,7411.310533636502,91.71807861328125,183.51807861328126,8391.910776420853,9014.444416081906,2.2804032411189237,0.024255922833619648,2.304659163952543
Q2-007,1,O01,S002,17.0,7411.310533636502,183.51807861328126,91.71807861328125,360.0,1075.4691354527813,1.5025439000904188,0.06040651551314248,1.5629504156035614
Q2-007,2,S002,O01,0.0,7411.310533636502,91.71807861328125,183.51807861328126,1285.4691354527813,2007.0582709055627,1.3340358960545704,0.024290623724654865,1.3583265197792254
Q2-008,1,O01,S014,25.0,5419.601888460408,447.8438232421875,224.5438232421875,2732.9647806259018,3333.3703769008666,1.1487506545785775,0.1524947093471527,1.3012453639257302
Q2-008,2,S014,O01,0.0,5419.601888460408,224.5438232421875,447.8438232421875,3573.3703769008666,4188.662639842498,0.7742288412086298,0.05522047626268127,0.829449317471311
Q2-009,1,O01,S001,14.0,3053.978849873493,145.3566101074219,89.05661010742188,2532.629303887711,2871.2023887892783,0.600004440421036,0.04619550834985945,0.6461999487708954
Q2-009,2,S001,O01,0.0,3053.978849873493,89.05661010742188,145.3566101074219,3051.2023887892783,3393.5288070241786,0.5497161929772287,0.023585760179666824,0.5733019531568956
Q2-010,1,O01,S006,59.0,3186.208184411841,240.7154968261719,53.615496826171864,2369.309602037297,2704.817428141641,1.4877426187531184,0.11739312022141349,1.605135738974532
Q2-010,2,S006,O01,0.0,3186.208184411841,53.615496826171864,240.7154968261719,3100.817428141641,3455.035254245985,0.9803717490497973,0.014179247683384043,0.9945509967331814
Q2-011,1,O01,S005,59.0,5280.606935319285,198.710888671875,131.410888671875,9835.035254245984,10332.265516405292,2.46568445495598,0.09690814073348461,2.5625925956894644
Q2-011,2,S005,O01,0.0,5280.606935319285,131.410888671875,198.710888671875,10728.265516405292,11232.225778564598,1.6248021339443954,0.03475315252254769,1.6595552864669432
Q2-012,1,O01,S001,22.0,3053.978849873493,145.3566101074219,89.05661010742188,360.0,698.5730849015672,0.658423676795108,0.05059508057365558,0.7090187573687636
Q2-012,2,S001,O01,0.0,3053.978849873493,89.05661010742188,145.3566101074219,908.5730849015672,1250.8995031364677,0.5497161929772287,0.023585760179666824,0.5733019531568956
Q2-013,1,O01,S008,45.0,8079.033147823332,239.85886840820314,96.65886840820315,4894.4867539152565,5577.361945337528,3.2165357478114665,0.10427050754956503,3.3208062553610316
Q2-013,2,S008,O01,0.0,8079.033147823332,96.65886840820315,239.85886840820314,5937.361945337528,6634.5571367597995,2.48585635317641,0.025562572709137282,2.5114189258855473
