架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,货箱编号列表,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）
Q2-001,U07,C,C-BAT-01,0.0,S001,S001-MED-01;S001-MED-02;S001-WAT-08;S001-WAT-01;S001-WAT-03;S001-WAT-06;S001-WAT-04,1560.169078176492,2.9175468585122437,63.53066426859695
Q2-002,U05,B,B-BAT-01,0.0,S012,S012-FOD-01;S012-MED-01;S012-WAT-01,1942.9647806259015,2.760456447566475,30.988588810838124
Q2-003,U06,B,B-BAT-02,0.0,S013,S013-FOD-01;S013-MED-01;S013-WAT-01,1501.041675401921,1.8209529704015748,54.47617573996063
Q2-004,U08,C,C-BAT-02,0.0,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,1889.3096020372968,3.403731022318619,57.453362221017265
Q2-005,U06,B,B-BAT-04,2481.041675401921,S010,S010-FOD-01;S010-MED-01;S010-WAT-01,4036.4212449801907,1.8231528292723531,54.42117926819117
Q2-006,U07,C,C-BAT-02,7034.5571367597995,S002,S002-WAT-04;S002-HYG-01;S002-FOD-02;S002-WAT-03,9014.444416081906,5.250173078792301,34.37283651509624
Q2-007,U01,A,A-BAT-01,0.0,S002,S002-MED-01;S002-WAT-01,2007.0582709055627,2.921276935382787,35.0827347692714
Q2-008,U05,B,B-BAT-03,2342.9647806259018,S014,S014-FOD-01;S014-MED-01;S014-WAT-01,4188.662639842498,2.130694681397041,46.732632965073975
Q2-009,U02,A,A-BAT-02,2202.629303887711,S001,S001-WAT-05,3393.5288070241786,1.2195019019277908,72.89995773493798
Q2-010,U08,C,C-BAT-04,1889.3096020372968,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,3455.035254245985,2.5996867357077136,67.50391580365358
Q2-011,U08,C,C-BAT-01,9355.035254245984,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,11232.225778564598,4.222147882156408,47.2231514730449
Q2-012,U02,A,A-BAT-02,0.0,S001,S001-FOD-01;S001-WAT-02,1250.8995031364677,1.282320710525659,71.50398421054092
Q2-013,U07,C,C-BAT-01,4444.4867539152565,S008,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,6634.5571367597995,5.832225181246579,27.097185234417765
Q2-014,U06,B,B-BAT-01,4036.4212449801907,S011,S011-FOD-01;S011-MED-01;S011-WAT-01,5224.841717786744,1.0739252699396358,73.1518682515091
Q2-015,U05,B,B-BAT-02,4505.829241238041,S003,S003-MED-01;S003-WAT-01;S003-FOD-01,6586.352564882063,2.779848267267533,30.50379331831168
Q2-016,U07,C,C-BAT-03,1560.169078176492,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,3861.225770702521,6.152871596056126,23.089105049298418
Q2-017,U03,A,A-BAT-06,2262.629303887711,S001,S001-WAT-07,3453.5288070241786,1.2195019019277908,72.89995773493798
Q2-018,U06,B,B-BAT-04,5493.120804331544,S015,S015-FOD-01;S015-MED-01;S015-WAT-01,7321.397453917111,2.3073930252979054,42.315174367552366
Q2-019,U07,C,C-BAT-03,9014.444416081906,S001;S009,S001-HYG-01;S001-FOD-03;S001-FOD-02;S001-HYG-02;S009-FOD-01;S009-MED-01;S009-WAT-01,11183.16558289743,4.1035812094518676,48.70523488185165
Q2-020,U03,A,A-BAT-03,0.0,S003,S003-WAT-03,2202.629303887711,2.93144520279479,34.85677327122689
Q2-021,U04,A,A-BAT-04,0.0,S003,S003-WAT-04;S003-FOD-02,2262.629303887711,3.0835210088387393,31.477310914694677
Q2-022,U01,A,A-BAT-05,2043.2000525822739,S002,S002-WAT-02;S002-FOD-01,4050.2583234878366,3.0200488542177153,32.88780323960633
Q2-023,U05,B,B-BAT-01,6586.352564882063,S003,S003-HYG-01;S003-WAT-02,8606.875888526085,2.585418568982548,35.3645357754363
