candidate_id,row,col,lon,lat,ground_elevation_m,height_agl_m,alt_m,sources,distance_one_way_m,maximum_ground_elevation_m,cruise_altitude_m,outbound_seconds,inbound_seconds,round_trip_flight_seconds,round_trip_positive_climb_m,round_trip_climb_energy_kwh
C001-H100,522,647,109.21263888888889,23.079583333333336,242.8338165283203,100.0,342.8338165283203,Q2-013-G01-P02;Q2-013-G01-P04;S008,8089.351613112512,323.0854187011719,373.0854187011719,610.7203296070777,628.6481476511043,1239.3684772581819,275.63702087402345,0.024507052886853658
C001-H200,522,647,109.21263888888889,23.079583333333336,242.8338165283203,200.0,442.8338165283203,Q2-013-G01-P02;Q2-013-G01-P04;S008,8089.351613112512,323.0854187011719,373.0854187011719,618.0735616729143,644.3347130502742,1262.4082747231885,315.1338165283203,0.02801873668350699
C001-H300,522,647,109.21263888888889,23.079583333333336,242.8338165283203,300.0,542.8338165283203,Q2-013-G01-P02;Q2-013-G01-P04;S008,8089.351613112512,323.0854187011719,373.0854187011719,643.0735616729143,677.6680463836076,1320.7416080565217,415.1338165283203,0.03690979667579094
C002-H100,528,739,109.23819444444445,23.077916666666667,200.332275390625,100.0,300.332275390625,Q2-016-G01-P02;Q2-016-G01-P04;S004,7723.2221625030525,348.2391662597656,398.2391662597656,615.1518993548584,629.5379223040771,1244.6898216589357,368.44605712890626,0.03275875997853585
C002-H200,528,739,109.23819444444445,23.077916666666667,200.332275390625,200.0,400.332275390625,Q2-016-G01-P02;Q2-016-G01-P04;S004,7723.2221625030525,348.2391662597656,398.2391662597656,583.0395463478598,605.7589026304117,1188.7984489782716,272.632275390625,0.02423989916330926
C002-H300,528,739,109.23819444444445,23.077916666666667,200.332275390625,300.0,500.332275390625,Q2-016-G01-P02;Q2-016-G01-P04;S004,7723.2221625030525,348.2391662597656,398.2391662597656,608.0395463478598,639.0922359637451,1247.1317823116049,372.632275390625,0.03313095915559321
C003-H100,555,812,109.25847222222222,23.070416666666667,191.97598266601562,100.0,291.9759826660156,Q2-006-G01-P02;Q2-006-G01-P04;Q2-007-G01-P02;Q2-007-G01-P04;Q2-022-G01-P02;Q2-022-G01-P04;S002,7417.352945632668,267.0908508300781,317.0908508300781,550.2095318043848,563.8991970265529,1114.1087288309377,214.50571899414064,0.01907183216264907
C003-H200,555,812,109.25847222222222,23.070416666666667,191.97598266601562,200.0,391.9759826660156,Q2-006-G01-P02;Q2-006-G01-P04;Q2-007-G01-P02;Q2-007-G01-P04;Q2-022-G01-P02;Q2-022-G01-P04;S002,7417.352945632668,267.0908508300781,317.0908508300781,560.5591920420151,582.5821905975164,1143.1413826395315,264.27598266601564,0.02349693616403338
C003-H300,555,812,109.25847222222222,23.070416666666667,191.97598266601562,300.0,491.9759826660156,Q2-006-G01-P02;Q2-006-G01-P04;Q2-007-G01-P02;Q2-007-G01-P04;Q2-022-G01-P02;Q2-022-G01-P04;S002,7417.352945632668,267.0908508300781,317.0908508300781,585.5591920420151,615.9155239308498,1201.474715972865,364.27598266601564,0.032387996156317336
C004-H100,606,703,109.22819444444444,23.056250000000002,168.7893524169922,100.0,268.7893524169922,Q2-011-G01-P02;Q2-011-G01-P04;S005,5294.0068380899975,276.410888671875,326.410888671875,421.8186901255962,433.5761361603456,855.3948262859418,256.3324249267578,0.022790669679914256
C004-H200,606,703,109.22819444444444,23.056250000000002,168.7893524169922,200.0,368.7893524169922,Q2-011-G01-P02;Q2-011-G01-P04;S005,5294.0068380899975,276.410888671875,326.410888671875,413.2061273102479,433.29690667833063,846.5030339885785,241.0893524169922,0.021435398958403653
C004-H300,606,703,109.22819444444444,23.056250000000002,168.7893524169922,300.0,468.7893524169922,Q2-011-G01-P02;Q2-011-G01-P04;S005,5294.0068380899975,276.410888671875,326.410888671875,438.2061273102479,466.63024001166394,904.8363673219119,341.0893524169922,0.0303264589506876
C005-H100,609,796,109.25402777777778,23.055416666666666,199.8599090576172,100.0,299.8599090576172,Q2-019-G01-P02;Q2-019-G01-P04;S009,5712.09662681412,241.5024871826172,291.5024871826172,423.84641905201227,438.19307814014707,862.0394971921594,172.1599090576172,0.015306840796974234
C005-H200,609,796,109.25402777777778,23.055416666666666,199.8599090576172,200.0,399.8599090576172,Q2-019-G01-P02;Q2-019-G01-P04;S009,5712.09662681412,241.5024871826172,291.5024871826172,448.84641905201227,471.5264114734804,920.3728305254926,272.1599090576172,0.024197900789258184
C005-H300,609,796,109.25402777777778,23.055416666666666,199.8599090576172,300.0,499.8599090576172,Q2-019-G01-P02;Q2-019-G01-P04;S009,5712.09662681412,241.5024871826172,291.5024871826172,473.84641905201227,504.8597448068137,978.7061638588259,372.1599090576172,0.03308896078154214
