candidate_id,gap_id,covered,backhaul_available,backhaul_margin_db,minimum_access_margin_db,failed_access_samples
C001-H100,Q2-002-G01,False,False,-2.215025455437342,,164
C001-H100,Q2-003-G01,False,False,-2.215025455437342,,82
C001-H100,Q2-004-G01,False,False,-2.215025455437342,,119
C001-H100,Q2-005-G01,False,False,-2.215025455437342,,86
C001-H100,Q2-006-G01,False,False,-2.215025455437342,,178
C001-H100,Q2-007-G01,False,False,-2.215025455437342,,175
C001-H100,Q2-008-G01,False,False,-2.215025455437342,,123
C001-H100,Q2-011-G01,False,False,-2.215025455437342,,125
C001-H100,Q2-013-G01,False,False,-2.215025455437342,,196
C001-H100,Q2-015-G01,False,False,-2.215025455437342,,172
C001-H100,Q2-016-G01,False,False,-2.215025455437342,,184
C001-H100,Q2-018-G01,False,False,-2.215025455437342,,121
C001-H100,Q2-019-G01,False,False,-2.215025455437342,,121
C001-H100,Q2-020-G01,False,False,-2.215025455437342,,183
C001-H100,Q2-021-G01,False,False,-2.215025455437342,,189
C001-H100,Q2-022-G01,False,False,-2.215025455437342,,175
C001-H100,Q2-023-G01,False,False,-2.215025455437342,,166
C001-H200,Q2-002-G01,False,False,-2.218276140737231,,164
C001-H200,Q2-003-G01,False,False,-2.218276140737231,,82
C001-H200,Q2-004-G01,False,False,-2.218276140737231,,119
C001-H200,Q2-005-G01,False,False,-2.218276140737231,,86
C001-H200,Q2-006-G01,False,False,-2.218276140737231,,178
C001-H200,Q2-007-G01,False,False,-2.218276140737231,,175
C001-H200,Q2-008-G01,False,False,-2.218276140737231,,123
C001-H200,Q2-011-G01,False,False,-2.218276140737231,,125
C001-H200,Q2-013-G01,False,False,-2.218276140737231,,196
C001-H200,Q2-015-G01,False,False,-2.218276140737231,,172
C001-H200,Q2-016-G01,False,False,-2.218276140737231,,184
C001-H200,Q2-018-G01,False,False,-2.218276140737231,,121
C001-H200,Q2-019-G01,False,False,-2.218276140737231,,121
C001-H200,Q2-020-G01,False,False,-2.218276140737231,,183
C001-H200,Q2-021-G01,False,False,-2.218276140737231,,189
C001-H200,Q2-022-G01,False,False,-2.218276140737231,,175
C001-H200,Q2-023-G01,False,False,-2.218276140737231,,166
C001-H300,Q2-002-G01,False,False,-2.222848791545829,,164
C001-H300,Q2-003-G01,False,False,-2.222848791545829,,82
C001-H300,Q2-004-G01,False,False,-2.222848791545829,,119
C001-H300,Q2-005-G01,False,False,-2.222848791545829,,86
C001-H300,Q2-006-G01,False,False,-2.222848791545829,,178
C001-H300,Q2-007-G01,False,False,-2.222848791545829,,175
C001-H300,Q2-008-G01,False,False,-2.222848791545829,,123
C001-H300,Q2-011-G01,False,False,-2.222848791545829,,125
C001-H300,Q2-013-G01,False,False,-2.222848791545829,,196
C001-H300,Q2-015-G01,False,False,-2.222848791545829,,172
C001-H300,Q2-016-G01,False,False,-2.222848791545829,,184
C001-H300,Q2-018-G01,False,False,-2.222848791545829,,121
C001-H300,Q2-019-G01,False,False,-2.222848791545829,,121
C001-H300,Q2-020-G01,False,False,-2.222848791545829,,183
C001-H300,Q2-021-G01,False,False,-2.222848791545829,,189
C001-H300,Q2-022-G01,False,False,-2.222848791545829,,175
C001-H300,Q2-023-G01,False,False,-2.222848791545829,,166
C002-H100,Q2-002-G01,False,False,-1.8118912691088411,,164
C002-H100,Q2-003-G01,False,False,-1.8118912691088411,,82
C002-H100,Q2-004-G01,False,False,-1.8118912691088411,,119
C002-H100,Q2-005-G01,False,False,-1.8118912691088411,,86
C002-H100,Q2-006-G01,False,False,-1.8118912691088411,,178
C002-H100,Q2-007-G01,False,False,-1.8118912691088411,,175
C002-H100,Q2-008-G01,False,False,-1.8118912691088411,,123
C002-H100,Q2-011-G01,False,False,-1.8118912691088411,,125
C002-H100,Q2-013-G01,False,False,-1.8118912691088411,,196
C002-H100,Q2-015-G01,False,False,-1.8118912691088411,,172
C002-H100,Q2-016-G01,False,False,-1.8118912691088411,,184
C002-H100,Q2-018-G01,False,False,-1.8118912691088411,,121
C002-H100,Q2-019-G01,False,False,-1.8118912691088411,,121
C002-H100,Q2-020-G01,False,False,-1.8118912691088411,,183
C002-H100,Q2-021-G01,False,False,-1.8118912691088411,,189
C002-H100,Q2-022-G01,False,False,-1.8118912691088411,,175
C002-H100,Q2-023-G01,False,False,-1.8118912691088411,,166
C002-H200,Q2-002-G01,False,False,-1.8148398214987935,,164
C002-H200,Q2-003-G01,False,False,-1.8148398214987935,,82
C002-H200,Q2-004-G01,False,False,-1.8148398214987935,,119
C002-H200,Q2-005-G01,False,False,-1.8148398214987935,,86
C002-H200,Q2-006-G01,False,False,-1.8148398214987935,,178
C002-H200,Q2-007-G01,False,False,-1.8148398214987935,,175
C002-H200,Q2-008-G01,False,False,-1.8148398214987935,,123
C002-H200,Q2-011-G01,False,False,-1.8148398214987935,,125
C002-H200,Q2-013-G01,False,False,-1.8148398214987935,,196
C002-H200,Q2-015-G01,False,False,-1.8148398214987935,,172
C002-H200,Q2-016-G01,False,False,-1.8148398214987935,,184
C002-H200,Q2-018-G01,False,False,-1.8148398214987935,,121
C002-H200,Q2-019-G01,False,False,-1.8148398214987935,,121
C002-H200,Q2-020-G01,False,False,-1.8148398214987935,,183
C002-H200,Q2-021-G01,False,False,-1.8148398214987935,,189
C002-H200,Q2-022-G01,False,False,-1.8148398214987935,,175
C002-H200,Q2-023-G01,False,False,-1.8148398214987935,,166
C002-H300,Q2-002-G01,False,False,-1.8192397744763156,,164
C002-H300,Q2-003-G01,False,False,-1.8192397744763156,,82
C002-H300,Q2-004-G01,False,False,-1.8192397744763156,,119
C002-H300,Q2-005-G01,False,False,-1.8192397744763156,,86
C002-H300,Q2-006-G01,False,False,-1.8192397744763156,,178
C002-H300,Q2-007-G01,False,False,-1.8192397744763156,,175
C002-H300,Q2-008-G01,False,False,-1.8192397744763156,,123
C002-H300,Q2-011-G01,False,False,-1.8192397744763156,,125
C002-H300,Q2-013-G01,False,False,-1.8192397744763156,,196
C002-H300,Q2-015-G01,False,False,-1.8192397744763156,,172
C002-H300,Q2-016-G01,False,False,-1.8192397744763156,,184
C002-H300,Q2-018-G01,False,False,-1.8192397744763156,,121
C002-H300,Q2-019-G01,False,False,-1.8192397744763156,,121
C002-H300,Q2-020-G01,False,False,-1.8192397744763156,,183
C002-H300,Q2-021-G01,False,False,-1.8192397744763156,,189
C002-H300,Q2-022-G01,False,False,-1.8192397744763156,,175
C002-H300,Q2-023-G01,False,False,-1.8192397744763156,,166
C003-H100,Q2-002-G01,False,False,-1.4608465606909533,,164
C003-H100,Q2-003-G01,False,False,-1.4608465606909533,,82
C003-H100,Q2-004-G01,False,False,-1.4608465606909533,,119
C003-H100,Q2-005-G01,False,False,-1.4608465606909533,,86
C003-H100,Q2-006-G01,False,False,-1.4608465606909533,,178
C003-H100,Q2-007-G01,False,False,-1.4608465606909533,,175
C003-H100,Q2-008-G01,False,False,-1.4608465606909533,,123
C003-H100,Q2-011-G01,False,False,-1.4608465606909533,,125
C003-H100,Q2-013-G01,False,False,-1.4608465606909533,,196
C003-H100,Q2-015-G01,False,False,-1.4608465606909533,,172
C003-H100,Q2-016-G01,False,False,-1.4608465606909533,,184
C003-H100,Q2-018-G01,False,False,-1.4608465606909533,,121
C003-H100,Q2-019-G01,False,False,-1.4608465606909533,,121
C003-H100,Q2-020-G01,False,False,-1.4608465606909533,,183
C003-H100,Q2-021-G01,False,False,-1.4608465606909533,,189
C003-H100,Q2-022-G01,False,False,-1.4608465606909533,,175
C003-H100,Q2-023-G01,False,False,-1.4608465606909533,,166
C003-H200,Q2-002-G01,False,False,-1.463911472581671,,164
C003-H200,Q2-003-G01,False,False,-1.463911472581671,,82
C003-H200,Q2-004-G01,False,False,-1.463911472581671,,119
C003-H200,Q2-005-G01,False,False,-1.463911472581671,,86
C003-H200,Q2-006-G01,False,False,-1.463911472581671,,178
C003-H200,Q2-007-G01,False,False,-1.463911472581671,,175
C003-H200,Q2-008-G01,False,False,-1.463911472581671,,123
C003-H200,Q2-011-G01,False,False,-1.463911472581671,,125
C003-H200,Q2-013-G01,False,False,-1.463911472581671,,196
C003-H200,Q2-015-G01,False,False,-1.463911472581671,,172
C003-H200,Q2-016-G01,False,False,-1.463911472581671,,184
