candidate_id,gap_id,row,col,lon,lat,ground_elevation_m,height_agl_m,alt_m,representative_backhaul_margin_db,representative_access_margin_db,representative_minimum_margin_db,backhaul_margin_db,covered_hole_seconds
Q2-013-G01-R0577C0682H300,Q2-013-G01,577,682,109.22236111111111,23.064305555555556,288.12109375,300.0,588.12109375,10.020381398508931,10.02754934939071,10.020381398508931,10.020381398508931,373.32943420410174
Q2-013-G01-R0582C0652H300,Q2-013-G01,582,652,109.21402777777777,23.062916666666666,248.1337127685547,300.0,548.1337127685547,9.986626070989402,10.54062135455277,9.986626070989402,9.986626070989402,373.32943420410174
Q2-013-G01-R0582C0647H300,Q2-013-G01,582,647,109.21263888888889,23.062916666666666,294.89532470703125,300.0,594.8953247070312,9.926385909637787,10.52685784723036,9.926385909637787,9.926385909637787,373.32943420410174
Q2-013-G01-R0577C0662H300,Q2-013-G01,577,662,109.21680555555555,23.064305555555556,212.3238067626953,300.0,512.3238067626953,9.883365900470451,11.078720782274317,9.883365900470451,9.883365900470451,373.32943420410174
Q2-013-G01-R0587C0647H300,Q2-013-G01,587,647,109.21263888888889,23.06152777777778,244.97064208984375,300.0,544.9706420898438,10.134604461868747,9.880189140711678,9.880189140711678,10.134604461868747,373.32943420410174
Q2-013-G01-R0582C0642H300,Q2-013-G01,582,642,109.21125,23.062916666666666,314.6242980957031,300.0,614.6242980957031,9.864942661202633,10.48146943790617,9.864942661202633,9.864942661202633,373.32943420410174
Q2-013-G01-R0587C0642H300,Q2-013-G01,587,642,109.21125,23.06152777777778,260.64031982421875,300.0,560.6403198242188,10.070764640419299,9.845674318442875,9.845674318442875,10.070764640419299,373.32943420410174
Q2-013-G01-R0572C0687H300,Q2-013-G01,572,687,109.22375,23.065694444444446,287.8885192871094,300.0,587.8885192871094,9.836039406115333,10.248601967515512,9.836039406115333,9.836039406115333,373.32943420410174
Q2-013-G01-R0572C0682H300,Q2-013-G01,572,682,109.22236111111111,23.065694444444446,237.44154357910156,300.0,537.4415435791016,9.816338970649397,10.652950144383311,9.816338970649397,9.816338970649397,373.32943420410174
Q2-013-G01-R0577C0652H300,Q2-013-G01,577,652,109.21402777777777,23.064305555555556,234.97898864746094,300.0,534.9789886474609,9.78577016939883,11.287964539299892,9.78577016939883,9.78577016939883,373.32943420410174
Q2-013-G01-R0577C0647H300,Q2-013-G01,577,647,109.21263888888889,23.064305555555556,294.08636474609375,300.0,594.0863647460938,9.7272351324454,11.261865768789534,9.7272351324454,9.7272351324454,373.32943420410174
Q2-013-G01-R0577C0687H300,Q2-013-G01,577,687,109.22375,23.064305555555556,273.0423889160156,300.0,573.0423889160156,10.047160640383268,9.715220669396444,9.715220669396444,10.047160640383268,373.32943420410174
Q2-013-G01-R0577C0642H300,Q2-013-G01,577,642,109.21125,23.064305555555556,298.4350280761719,300.0,598.4350280761719,9.669974557661874,11.223275885969116,9.669974557661874,9.669974557661874,373.32943420410174
Q2-013-G01-R0582C0627H300,Q2-013-G01,582,627,109.20708333333333,23.062916666666666,408.8534851074219,300.0,708.8534851074219,9.656380737537674,10.028408252660498,9.656380737537674,9.656380737537674,373.32943420410174
Q2-013-G01-R0572C0657H300,Q2-013-G01,572,657,109.21541666666667,23.065694444444446,229.68789672851562,300.0,529.6878967285156,9.635953886049563,11.995754510560232,9.635953886049563,9.635953886049563,373.32943420410174
