K,分组,资源配置向量,资源缺口向量,资源冗余向量,工作量CV向量,最大CV,地理SSE（m²）,缺口Pareto,最终选中,地理baseline
2,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S012;S013;S014;S015 | S011,"[4, 3, 2, 6, 5, 4, 2, 4]","[0, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9340369393139841, 0.9428740564041606, 1.0, 0.9709342862396892]",1.0,284211243.2766212,True,False,False
2,S001;S002;S003;S004;S005;S006;S007;S008;S009;S011;S012;S013;S015 | S010;S014,"[4, 4, 2, 6, 5, 4, 3, 4]","[0, 2, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8680738786279684, 0.8365142962376044, 0.8362092819975111, 0.878704504526196]",0.878704504526196,213114535.53838828,False,False,False
2,S001;S002;S003;S004;S005;S006;S007;S008;S009;S012;S013;S015 | S010;S011;S014,"[4, 4, 2, 6, 6, 4, 3, 4]","[0, 2, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8021108179419525, 0.7793883526417651, 0.8362092819975111, 0.8496387907658853]",0.8496387907658853,237129168.19472238,False,False,False
2,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S008,"[4, 2, 3, 6, 4, 5, 3, 4]","[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8812664907651715, 0.894725949254443, 0.7891602375377376, 0.8238470084057973]",0.894725949254443,264954763.12602478,False,False,False
2,S001;S002;S003;S004;S005;S006;S007;S009;S010;S012;S013;S014;S015 | S008;S011,"[4, 3, 3, 6, 5, 5, 3, 4]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8153034300791556, 0.8376000056586037, 0.7891602375377376, 0.7947812946454866]",0.8376000056586037,275256496.7937603,False,False,False
2,S001;S002;S003;S004;S005;S006;S007;S009;S011;S012;S013;S015 | S008;S010;S014,"[4, 4, 3, 6, 5, 5, 3, 4]","[0, 2, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7493403693931399, 0.7312402454920476, 0.6253695195352487, 0.7025515129319935]",0.7493403693931399,265131817.3036697,False,False,False
2,S001;S002;S003;S004;S005;S006;S007;S009;S012;S013;S015 | S008;S010;S011;S014,"[4, 4, 3, 6, 6, 5, 3, 4]","[0, 2, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.683377308707124, 0.6741143018962081, 0.6253695195352487, 0.6734857991716827]",0.683377308707124,272926417.74874413,False,False,False
2,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S006,"[4, 2, 3, 6, 4, 4, 2, 4]","[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8443271767810027, 0.9247374499671787, 1.0, 0.9296396568349636]",1.0,258180228.72643515,True,True,False
2,S001;S002;S003;S004;S005;S007;S008;S009;S010;S012;S013;S014;S015 | S006;S011,"[4, 3, 3, 6, 5, 4, 2, 4]","[0, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7783641160949868, 0.8676115063713391, 1.0, 0.9005739430746532]",1.0,258336399.4292638,False,False,False
2,S001;S002;S003;S004;S005;S007;S008;S009;S011;S012;S013;S015 | S006;S010;S014,"[4, 4, 3, 6, 5, 4, 3, 4]","[0, 2, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.712401055408971, 0.7612517462047831, 0.8362092819975111, 0.8083441613611598]",0.8362092819975111,228125319.16813996,False,False,False
2,S001;S002;S003;S004;S005;S007;S008;S009;S012;S013;S015 | S006;S010;S011;S014,"[4, 4, 3, 6, 6, 4, 3, 4]","[0, 2, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.6464379947229552, 0.7041258026089436, 0.8362092819975111, 0.7792784476008491]",0.8362092819975111,234805668.14052314,False,False,False
2,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015 | S006;S008,"[4, 2, 3, 6, 4, 5, 3, 4]","[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7255936675461742, 0.8194633992216217, 0.7891602375377376, 0.7534866652407612]",0.8194633992216217,268266390.94523862,False,False,False
2,S001;S002;S003;S004;S005;S007;S009;S010;S012;S013;S014;S015 | S006;S008;S011,"[4, 3, 3, 6, 5, 5, 3, 4]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.6596306068601583, 0.7623374556257821, 0.7891602375377376, 0.7244209514804505]",0.7891602375377376,265152615.96021372,False,False,False
2,S001;S002;S003;S004;S005;S007;S009;S011;S012;S013;S015 | S006;S008;S010;S014,"[4, 4, 3, 6, 5, 5, 3, 4]","[0, 2, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.5936675461741425, 0.6559776954592261, 0.6253695195352487, 0.6321911697669572]",0.6559776954592261,269711710.62792766,False,False,False
2,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S008;S010;S011;S014,"[4, 4, 3, 6, 6, 5, 3, 4]","[0, 2, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.5277044854881267, 0.5988517518633867, 0.6253695195352487, 0.6031254560066466]",0.6253695195352487,269091960.0551904,False,False,False
2,S001;S002;S004;S005;S006;S008;S009;S010;S011;S012;S013;S014 | S003;S007;S015,"[5, 4, 3, 6, 7, 4, 3, 4]","[1, 2, 1, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.6015831134564644, 0.40952810103381687, 0.17325897658339806, 0.4651494580670764]",0.6015831134564644,188495871.18633687,False,False,False
2,S001;S002;S004;S005;S006;S008;S009;S010;S012;S013;S014 | S003;S007;S011;S015,"[5, 4, 3, 6, 7, 4, 3, 4]","[1, 2, 1, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.5356200527704486, 0.3524021574379774, 0.17325897658339806, 0.4360837443067659]",0.5356200527704486,188839359.03311348,False,False,False
2,S001;S002;S004;S005;S006;S008;S009;S011;S012;S013 | S003;S007;S010;S014;S015,"[5, 4, 3, 6, 5, 4, 3, 4]","[1, 2, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.46965699208443273, 0.24604239727142144, 0.009468258580909114, 0.34385396259327244]",0.46965699208443273,258466415.89317012,False,False,False
2,S001;S002;S004;S005;S006;S008;S009;S012;S013 | S003;S007;S010;S011;S014;S015,"[5, 4, 3, 6, 6, 4, 3, 4]","[1, 2, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.40369393139841686, 0.18891645367558194, 0.009468258580909114, 0.31478824883296175]",0.40369393139841686,249316962.12123302,False,False,False
2,S001;S002;S004;S005;S006;S009;S010;S011;S012;S013;S014 | S003;S007;S008;S015,"[5, 4, 3, 6, 7, 4, 4, 4]","[1, 2, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.48284960422163586, 0.30425405028825997, 0.037580785878864355, 0.2889964664728738]",0.48284960422163586,178175524.70335802,False,False,False
2,S001;S002;S004;S005;S006;S009;S010;S012;S013;S014 | S003;S007;S008;S011;S015,"[5, 4, 3, 6, 7, 4, 4, 4]","[1, 2, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.41688654353562005, 0.24712810669242047, 0.037580785878864355, 0.2599307527125631]",0.41688654353562005,176622966.97394684,False,False,False
2,S001;S002;S004;S005;S006;S009;S011;S012;S013 | S003;S007;S008;S010;S014;S015,"[5, 4, 3, 6, 5, 4, 3, 4]","[1, 2, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.35092348284960423, 0.14076834652586442, 0.2013715038813533, 0.1677009709990699]",0.35092348284960423,264288765.44569993,False,False,False
2,S001;S002;S004;S005;S006;S009;S012;S013 | S003;S007;S008;S010;S011;S014;S015,"[5, 4, 3, 6, 6, 4, 3, 4]","[1, 2, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.2849604221635884, 0.08364240293002492, 0.2013715038813533, 0.13863525723875916]",0.2849604221635884,254995237.874225,False,False,False
2,S001;S002;S004;S005;S008;S009;S010;S011;S012;S013;S014 | S003;S006;S007;S015,"[5, 4, 3, 6, 7, 5, 3, 4]","[1, 2, 1, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.44591029023746703, 0.3342655510009955, 0.17325897658339806, 0.3947891149020402]",0.44591029023746703,156554298.24882582,False,False,False
2,S001;S002;S004;S005;S008;S009;S010;S012;S013;S014 | S003;S006;S007;S011;S015,"[5, 4, 3, 6, 7, 5, 3, 4]","[1, 2, 1, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.37994722955145116, 0.2771396074051561, 0.17325897658339806, 0.36572340114172963]",0.37994722955145116,150694706.69630542,False,False,False
2,S001;S002;S004;S005;S008;S009;S011;S012;S013 | S003;S006;S007;S010;S014;S015,"[5, 4, 3, 6, 5, 5, 3, 4]","[1, 2, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.31398416886543534, 0.17077984723859996, 0.009468258580909114, 0.27349361942823625]",0.31398416886543534,223756831.82932526,False,False,False
2,S001;S002;S004;S005;S008;S009;S012;S013 | S003;S006;S007;S010;S011;S014;S015,"[5, 4, 3, 6, 6, 5, 3, 4]","[1, 2, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.24802110817941952, 0.11365390364276054, 0.009468258580909114, 0.24442790566792555]",0.24802110817941952,209748747.4248163,False,False,False
2,S001;S002;S004;S005;S009;S010;S011;S012;S013;S014 | S003;S006;S007;S008;S015,"[5, 4, 3, 6, 7, 5, 4, 4]","[1, 2, 1, 0, 3, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.32717678100263853, 0.22899150025543855, 0.037580785878864355, 0.21863612330783766]",0.32717678100263853,151865942.51659453,False,False,False
2,S001;S002;S004;S005;S009;S010;S012;S013;S014 | S003;S006;S007;S008;S011;S015,"[5, 4, 3, 6, 7, 5, 4, 4]","[1, 2, 1, 0, 3, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.2612137203166227, 0.17186555665959907, 0.037580785878864355, 0.18957040954752694]",0.2612137203166227,142740521.56847012,False,False,True
2,S001;S002;S004;S005;S009;S011;S012;S013 | S003;S006;S007;S008;S010;S014;S015,"[5, 4, 3, 6, 5, 5, 3, 4]","[1, 2, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.19525065963060687, 0.06550579649304303, 0.2013715038813533, 0.09734062783403366]",0.2013715038813533,233610316.72918966,False,False,False
2,S001;S002;S004;S005;S009;S012;S013 | S003;S006;S007;S008;S010;S011;S014;S015,"[5, 4, 3, 6, 6, 5, 3, 4]","[1, 2, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.12928759894459102, 0.008379852897203529, 0.2013715038813533, 0.06827491407372295]",0.2013715038813533,218099705.3721695,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S008;S009;S012;S013;S015 | S010;S014 | S011,"[4, 5, 2, 6, 6, 4, 3, 4]","[0, 3, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.2049976225138626, 1.1820153948712686, 1.2445356342621086, 1.256001911596232]",1.256001911596232,209251584.23468474,True,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S010;S012;S013;S014;S015 | S008 | S011,"[4, 3, 3, 6, 5, 5, 3, 4]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.218741763514968, 1.2423122936651014, 1.1975645372028711, 1.1999316400653766]",1.2423122936651014,261118464.9525949,False,False,False
